,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
16466,Senegal,SEN,2021-02-22,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
16467,Senegal,SEN,2021-02-23,82,82,0,82.0,82,0.0,0.0,0.0,5.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
16468,Senegal,SEN,2021-02-24,4087,4087,0,4005.0,2044,0.02,0.02,0.0,122.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
16469,Senegal,SEN,2021-02-25,11749,11749,0,7662.0,3916,0.07,0.07,0.0,234.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
16470,Senegal,SEN,2021-02-26,21641,21641,0,9892.0,5410,0.13,0.13,0.0,323.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
16471,Senegal,SEN,2021-02-27,25653,25653,0,4012.0,5131,0.15,0.15,0.0,306.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
16472,Senegal,SEN,2021-02-28,27018,27018,0,1365.0,4503,0.16,0.16,0.0,269.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
16473,Senegal,SEN,2021-03-01,35299,35299,0,8281.0,5043,0.21,0.21,0.0,301.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
16474,Senegal,SEN,2021-03-02,39938,39938,0,4639.0,5694,0.24,0.24,0.0,340.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
16475,Senegal,SEN,2021-03-03,45638,45638,0,5700.0,5936,0.27,0.27,0.0,355.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
16476,Senegal,SEN,2021-03-04,52363,52363,0,6725.0,5802,0.31,0.31,0.0,347.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
16477,Senegal,SEN,2021-03-05,62060,62060,0,9697.0,5774,0.37,0.37,0.0,345.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
16478,Senegal,SEN,2021-03-06,64117,64117,0,2057.0,5495,0.38,0.38,0.0,328.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
16479,Senegal,SEN,2021-03-07,65037,65037,0,920.0,5431,0.39,0.39,0.0,324.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
16480,Senegal,SEN,2021-03-08,66768,66768,0,1731.0,4496,0.4,0.4,0.0,269.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
16481,Senegal,SEN,2021-03-09,68017,68017,0,1249.0,4011,0.41,0.41,0.0,240.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
16482,Senegal,SEN,2021-03-10,68205,68205,0,188.0,3224,0.41,0.41,0.0,193.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
16483,Senegal,SEN,2021-03-11,89198,89198,0,,5262,0.5307540804122362,0.5307540804122362,0.0,314.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
16484,Senegal,SEN,2021-03-12,110192,110192,0,,6876,0.6556744952665433,0.6556744952665433,0.0,411.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
16485,Senegal,SEN,2021-03-13,131186,131186,0,,9581,0.78,0.78,0.0,572.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
16486,Senegal,SEN,2021-03-14,131186,131186,0,0.0,9450,0.78,0.78,0.0,564.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
16487,Senegal,SEN,2021-03-15,139118,139118,0,7932.0,10336,0.83,0.83,0.0,617.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
