,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
16558,Serbia,SRB,2021-01-08,7000,0,0,,0,0.1,0.1,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16559,Serbia,SRB,2021-01-09,8150,8150,0,,1150,0.11978542095315979,0.11978542095315979,0.0,169.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16560,Serbia,SRB,2021-01-10,9300,9300,0,,1150,0.14,0.14,0.0,169.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16561,Serbia,SRB,2021-01-11,11509,11509,0,,1503,0.16915465150305717,0.16915465150305717,0.0,221.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16562,Serbia,SRB,2021-01-12,13718,13718,0,,1680,0.2016216447405455,0.2016216447405455,0.0,247.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16563,Serbia,SRB,2021-01-13,15927,15927,0,,1785,0.23408863797803386,0.23408863797803386,0.0,262.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16564,Serbia,SRB,2021-01-14,18136,18136,0,,1856,0.27,0.27,0.0,273.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16565,Serbia,SRB,2021-01-15,22548,22548,0,,2221,0.3314014321045211,0.3314014321045211,0.0,326.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16566,Serbia,SRB,2021-01-16,26961,26961,0,,2687,0.3962619305911829,0.3962619305911829,0.0,395.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16567,Serbia,SRB,2021-01-17,31373,31373,0,,3153,0.4611077314801818,0.4611077314801818,0.0,463.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16568,Serbia,SRB,2021-01-18,35786,35786,0,,3468,0.5259682299668437,0.5259682299668437,0.0,510.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16569,Serbia,SRB,2021-01-19,40198,40198,0,,3783,0.5908140308558425,0.5908140308558425,0.0,556.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16570,Serbia,SRB,2021-01-20,44611,44611,0,,4098,0.66,0.66,0.0,602.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16571,Serbia,SRB,2021-01-21,84832,84832,0,40221.0,9528,1.25,1.25,0.0,1400.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16572,Serbia,SRB,2021-01-22,119711,119711,0,34879.0,13880,1.76,1.76,0.0,2040.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16573,Serbia,SRB,2021-01-23,163355,163355,0,43644.0,19485,2.4,2.4,0.0,2864.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16574,Serbia,SRB,2021-01-24,217800,217800,0,54445.0,26632,3.2,3.2,0.0,3914.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16575,Serbia,SRB,2021-01-25,256521,256521,0,38721.0,31534,3.77,3.77,0.0,4634.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16576,Serbia,SRB,2021-01-26,319504,319504,0,62983.0,39901,4.7,4.7,0.0,5864.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16577,Serbia,SRB,2021-01-27,361830,361830,0,42326.0,45317,5.32,5.32,0.0,6660.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16578,Serbia,SRB,2021-01-28,401556,401556,0,39726.0,45246,5.9,5.9,0.0,6649.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16579,Serbia,SRB,2021-01-29,430759,430759,0,29203.0,44435,6.33,6.33,0.0,6530.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16580,Serbia,SRB,2021-01-30,437380,437380,0,6621.0,39146,6.43,6.43,0.0,5753.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16581,Serbia,SRB,2021-01-31,456908,456908,0,,34158,6.715449952989734,6.715449952989734,0.0,5020.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16582,Serbia,SRB,2021-02-01,476436,476436,0,,31416,7.002464640152102,7.002464640152102,0.0,4617.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16583,Serbia,SRB,2021-02-02,495964,495964,0,,25209,7.29,7.29,0.0,3705.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16584,Serbia,SRB,2021-02-03,513652,513652,0,17688.0,21689,7.55,7.55,0.0,3187.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16585,Serbia,SRB,2021-02-04,526930,526930,0,13278.0,17911,7.74,7.74,0.0,2632.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16586,Serbia,SRB,2021-02-05,538373,538373,0,11443.0,15373,7.91,7.91,0.0,2259.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16587,Serbia,SRB,2021-02-06,541291,541291,0,,14844,7.955677336583658,7.955677336583658,0.0,2181.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16588,Serbia,SRB,2021-02-07,544209,544209,0,,12472,8.0,8.0,0.0,1833.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16589,Serbia,SRB,2021-02-08,576239,560350,15888,,14258,8.469328979708937,8.235798850442096,0.23351543166917824,2095.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16590,Serbia,SRB,2021-02-09,608269,576492,31776,,16044,8.940093032853687,8.473047471917667,0.4670308633383565,2358.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16591,Serbia,SRB,2021-02-10,640299,592634,47665,,18092,9.41,8.71,0.7,2659.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16592,Serbia,SRB,2021-02-11,738293,651386,86907,,30195,10.851133471382969,9.573809351287723,1.2773241200952463,4437.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16593,Serbia,SRB,2021-02-12,836287,710138,126149,,42559,12.29,10.44,1.85,6254.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16594,Serbia,SRB,2021-02-13,911643,757569,154074,,52908,13.398962026257847,11.134444363934271,2.264517662323575,7775.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16595,Serbia,SRB,2021-02-14,987000,805000,182000,,63256,14.5,11.83,2.67,9296.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16596,Serbia,SRB,2021-02-15,1021814,807506,214307,,63654,15.018211058384296,11.868398298429723,3.1497980623569095,9355.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
16597,Serbia,SRB,2021-02-16,1056628,810013,246614,,64051,15.52989322342274,11.905245175770775,3.6246333500543,9413.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
