,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
16826,Sierra Leone,SLE,2021-03-14,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16827,Sierra Leone,SLE,2021-03-15,970,970,0,,970,0.012019330553026746,0.012019330553026746,0.0,122.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16828,Sierra Leone,SLE,2021-03-16,1940,1940,0,,970,0.024038661106053492,0.024038661106053492,0.0,122.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16829,Sierra Leone,SLE,2021-03-17,2910,2910,0,,970,0.03605799165908024,0.03605799165908024,0.0,122.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16830,Sierra Leone,SLE,2021-03-18,3881,3881,0,,970,0.048089713274532785,0.048089713274532785,0.0,122.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16831,Sierra Leone,SLE,2021-03-19,4851,4851,0,,970,0.06010904382755953,0.06010904382755953,0.0,122.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16832,Sierra Leone,SLE,2021-03-20,5821,5821,0,,970,0.07212837438058628,0.07212837438058628,0.0,122.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16833,Sierra Leone,SLE,2021-03-21,6791,6791,0,,970,0.08414770493361302,0.08414770493361302,0.0,122.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16834,Sierra Leone,SLE,2021-03-22,7762,7762,0,,970,0.09617942654906557,0.09617942654906557,0.0,122.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16835,Sierra Leone,SLE,2021-03-23,8732,8732,0,,970,0.10819875710209233,0.10819875710209233,0.0,122.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16836,Sierra Leone,SLE,2021-03-24,9702,9702,0,,970,0.12021808765511906,0.12021808765511906,0.0,122.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16837,Sierra Leone,SLE,2021-03-25,10673,10673,0,,970,0.13,0.13,0.0,122.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16838,Sierra Leone,SLE,2021-03-26,13705,13705,0,,1265,0.16981951054559954,0.16981951054559954,0.0,159.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16839,Sierra Leone,SLE,2021-03-27,16738,16738,0,,1560,0.20740160288305326,0.20740160288305326,0.0,196.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16840,Sierra Leone,SLE,2021-03-28,19770,19770,0,,1854,0.24497130415808122,0.24497130415808122,0.0,232.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16841,Sierra Leone,SLE,2021-03-29,22803,22803,0,,2149,0.28255339649553496,0.28255339649553496,0.0,269.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16842,Sierra Leone,SLE,2021-03-30,25836,25836,0,,2443,0.32,0.32,0.0,306.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16843,Sierra Leone,SLE,2021-03-31,31889,31889,0,6053.0,3169,0.4,0.4,0.0,397.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16844,Sierra Leone,SLE,2021-04-01,32468,32455,12,,3114,0.40231301484089943,0.40215193102936403,0.00014869274910960922,390.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16845,Sierra Leone,SLE,2021-04-02,33047,33022,24,,2763,0.4094874399854381,0.409177663424793,0.00029738549821921843,346.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16846,Sierra Leone,SLE,2021-04-03,33626,33589,36,,2413,0.4166618651299766,0.41620339582022203,0.00044607824732882765,302.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16847,Sierra Leone,SLE,2021-04-04,34205,34156,48,,2062,0.4238362902745153,0.42322912821565106,0.0005947709964384369,258.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16848,Sierra Leone,SLE,2021-04-05,34784,34723,60,,1712,0.43101071541905395,0.4302548606110801,0.0007434637455480461,215.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16849,Sierra Leone,SLE,2021-04-06,35363,35290,72,,1361,0.4381851405635926,0.4372805930065091,0.0008921564946576553,171.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16850,Sierra Leone,SLE,2021-04-07,35942,35857,84,,579,0.44535956570813123,0.44430632540193815,0.0010408492437672646,73.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16851,Sierra Leone,SLE,2021-04-08,36521,36424,96,,579,0.4525339908526699,0.4513320577973672,0.0011895419928768737,73.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16852,Sierra Leone,SLE,2021-04-09,37100,36991,108,,579,0.4597084159972086,0.4583577901927963,0.001338234741986483,73.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16853,Sierra Leone,SLE,2021-04-10,37680,37558,122,,579,0.47,0.47,0.0,73.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16854,Sierra Leone,SLE,2021-04-11,38864,38554,309,,666,0.4815662501163211,0.4777250207643228,0.003828838289572438,83.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16855,Sierra Leone,SLE,2021-04-12,40049,39550,498,,752,0.496249659090895,0.4900665189404204,0.006170749088048782,94.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16856,Sierra Leone,SLE,2021-04-13,41234,40546,687,,839,0.5109330680654689,0.5024080171165181,0.00851265988652513,105.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16857,Sierra Leone,SLE,2021-04-14,42419,41543,876,,925,0.53,0.52,0.01,116.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16858,Sierra Leone,SLE,2021-04-15,44347,42566,1781,1928.0,1118,0.56,0.53,0.02,140.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
16859,Sierra Leone,SLE,2021-04-16,45648,43517,2131,,1221,0.5656272176129535,0.539221863583572,0.02640535402938144,153.0,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1387167548311054/1387167118311097/
