,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
16882,Singapore,SGP,2021-01-11,3400,0,0,,0,0.06,0.06,0.0,0.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.sg/covid-19
16883,Singapore,SGP,2021-01-12,6200,6200,0,2800.0,2800,0.11,0.11,0.0,479.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.sg/covid-19
16884,Singapore,SGP,2021-01-13,11580,11580,0,,4090,0.19814971288825278,0.19814971288825278,0.0,699.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.sg/covid-19
16885,Singapore,SGP,2021-01-14,16960,16960,0,,4520,0.2902089059226915,0.2902089059226915,0.0,773.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.sg/covid-19
16886,Singapore,SGP,2021-01-15,22340,22340,0,,4735,0.3822680989571302,0.3822680989571302,0.0,809.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.sg/covid-19
16887,Singapore,SGP,2021-01-16,27720,27720,0,,4864,0.47432729199156887,0.47432729199156887,0.0,831.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.sg/covid-19
16888,Singapore,SGP,2021-01-17,33100,33100,0,,4950,0.5663864850260076,0.5663864850260076,0.0,846.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.sg/covid-19
16889,Singapore,SGP,2021-01-18,38480,38480,0,,5011,0.6584456780604463,0.6584456780604463,0.0,857.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.sg/covid-19
16890,Singapore,SGP,2021-01-19,43860,43860,0,,5380,0.750504871094885,0.750504871094885,0.0,920.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.sg/covid-19
16891,Singapore,SGP,2021-01-20,49240,49240,0,,5380,0.8425640641293237,0.8425640641293237,0.0,920.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.sg/covid-19
16892,Singapore,SGP,2021-01-21,54620,54620,0,,5380,0.9346232571637624,0.9346232571637624,0.0,920.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.sg/covid-19
