,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
17016,Sint Maarten (Dutch part),SXM,2021-05-07,14678,0,9956,,0,57.45,34.23,23.22,0.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
17017,Sint Maarten (Dutch part),SXM,2021-05-08,24846,14767,10078,,212,58.05140186915888,34.50233644859813,23.546728971962615,4944.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
17018,Sint Maarten (Dutch part),SXM,2021-05-09,25058,14856,10201,,212,58.546728971962615,34.71028037383178,23.83411214953271,4944.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
17019,Sint Maarten (Dutch part),SXM,2021-05-10,25271,14946,10324,,212,59.044392523364486,34.92056074766355,24.121495327102803,4944.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
17020,Sint Maarten (Dutch part),SXM,2021-05-11,25483,15035,10447,,212,59.53971962616822,35.1285046728972,24.4088785046729,4944.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
17021,Sint Maarten (Dutch part),SXM,2021-05-12,25696,15125,10570,,212,60.03738317757009,35.33878504672897,24.69626168224299,4944.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
17022,Sint Maarten (Dutch part),SXM,2021-05-13,25908,15214,10693,,212,60.532710280373834,35.546728971962615,24.983644859813083,4944.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
17023,Sint Maarten (Dutch part),SXM,2021-05-14,26121,15304,10817,,212,60.91,35.69,25.23,4944.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
17024,Sint Maarten (Dutch part),SXM,2021-05-15,26287,15390,10897,,206,61.418224299065415,35.95794392523364,25.46028037383178,4804.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
17025,Sint Maarten (Dutch part),SXM,2021-05-16,26453,15476,10977,,199,61.80607476635514,36.1588785046729,25.647196261682243,4641.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
17026,Sint Maarten (Dutch part),SXM,2021-05-17,26619,15562,11057,,193,62.19392523364486,36.35981308411215,25.83411214953271,4501.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
17027,Sint Maarten (Dutch part),SXM,2021-05-18,26786,15648,11138,,186,62.584112149532714,36.5607476635514,26.02336448598131,4337.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
17028,Sint Maarten (Dutch part),SXM,2021-05-19,26952,15734,11218,,179,62.97196261682243,36.76168224299066,26.210280373831772,4174.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
17029,Sint Maarten (Dutch part),SXM,2021-05-20,27118,15820,11298,,173,63.35981308411215,36.96261682242991,26.397196261682243,4034.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
17030,Sint Maarten (Dutch part),SXM,2021-05-21,27285,15906,11379,,166,63.63,37.09,26.54,3871.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
