,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
17173,Slovenia,SVN,2020-12-27,6071,0,0,,0,0.29,0.29,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via Sledilnik,https://covid-19.sledilnik.org/en/stats
17174,Slovenia,SVN,2020-12-28,7654,7654,0,1583.0,1583,0.37,0.37,0.0,761.0,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via Sledilnik,https://covid-19.sledilnik.org/en/stats
17175,Slovenia,SVN,2020-12-29,8958,8958,0,1304.0,1444,0.43,0.43,0.0,695.0,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via Sledilnik,https://covid-19.sledilnik.org/en/stats
17176,Slovenia,SVN,2020-12-30,9353,9353,0,395.0,1094,0.45,0.45,0.0,526.0,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via Sledilnik,https://covid-19.sledilnik.org/en/stats
17177,Slovenia,SVN,2020-12-31,11208,11208,0,1855.0,1284,0.54,0.54,0.0,618.0,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via Sledilnik,https://covid-19.sledilnik.org/en/stats
17178,Slovenia,SVN,2021-01-01,11358,11358,0,150.0,1057,0.55,0.55,0.0,508.0,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via Sledilnik,https://covid-19.sledilnik.org/en/stats
17179,Slovenia,SVN,2021-01-02,11762,11762,0,404.0,948,0.57,0.57,0.0,456.0,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via Sledilnik,https://covid-19.sledilnik.org/en/stats
17180,Slovenia,SVN,2021-01-03,12317,12317,0,555.0,892,0.59,0.59,0.0,429.0,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via Sledilnik,https://covid-19.sledilnik.org/en/stats
17181,Slovenia,SVN,2021-01-04,13396,13396,0,1079.0,820,0.64,0.64,0.0,394.0,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via Sledilnik,https://covid-19.sledilnik.org/en/stats
17182,Slovenia,SVN,2021-01-05,15864,15864,0,2468.0,987,0.76,0.76,0.0,475.0,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via Sledilnik,https://covid-19.sledilnik.org/en/stats
17183,Slovenia,SVN,2021-01-06,21168,21168,0,5304.0,1688,1.02,1.02,0.0,812.0,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via Sledilnik,https://covid-19.sledilnik.org/en/stats
17184,Slovenia,SVN,2021-01-07,26645,26645,0,5477.0,2205,1.28,1.28,0.0,1061.0,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via Sledilnik,https://covid-19.sledilnik.org/en/stats
17185,Slovenia,SVN,2021-01-08,29869,29868,1,3224.0,2644,1.44,1.44,0.0,1272.0,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via Sledilnik,https://covid-19.sledilnik.org/en/stats
17186,Slovenia,SVN,2021-01-09,30123,30122,1,254.0,2623,1.45,1.45,0.0,1262.0,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via Sledilnik,https://covid-19.sledilnik.org/en/stats
17187,Slovenia,SVN,2021-01-10,30124,30123,1,1.0,2544,1.45,1.45,0.0,1224.0,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via Sledilnik,https://covid-19.sledilnik.org/en/stats
17188,Slovenia,SVN,2021-01-11,30607,30606,1,483.0,2459,1.47,1.47,0.0,1183.0,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via Sledilnik,https://covid-19.sledilnik.org/en/stats
17189,Slovenia,SVN,2021-01-12,32410,32409,1,1803.0,2364,1.56,1.56,0.0,1137.0,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via Sledilnik,https://covid-19.sledilnik.org/en/stats
17190,Slovenia,SVN,2021-01-13,37120,37118,2,4710.0,2279,1.79,1.79,0.0,1096.0,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via Sledilnik,https://covid-19.sledilnik.org/en/stats
17191,Slovenia,SVN,2021-01-14,43843,43840,3,6723.0,2457,2.11,2.11,0.0,1182.0,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via Sledilnik,https://covid-19.sledilnik.org/en/stats
17192,Slovenia,SVN,2021-01-15,48757,48605,152,4914.0,2698,2.35,2.34,0.01,1298.0,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via Sledilnik,https://covid-19.sledilnik.org/en/stats
17193,Slovenia,SVN,2021-01-16,49081,48929,152,324.0,2708,2.36,2.35,0.01,1303.0,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via Sledilnik,https://covid-19.sledilnik.org/en/stats
17194,Slovenia,SVN,2021-01-17,49085,48933,152,4.0,2709,2.36,2.35,0.01,1303.0,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via Sledilnik,https://covid-19.sledilnik.org/en/stats
17195,Slovenia,SVN,2021-01-18,49314,48996,318,229.0,2672,2.37,2.36,0.02,1285.0,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via Sledilnik,https://covid-19.sledilnik.org/en/stats
17196,Slovenia,SVN,2021-01-19,51483,49551,1932,2169.0,2725,2.48,2.38,0.09,1311.0,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via Sledilnik,https://covid-19.sledilnik.org/en/stats
17197,Slovenia,SVN,2021-01-20,56157,50705,5452,4674.0,2720,2.7,2.44,0.26,1308.0,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via Sledilnik,https://covid-19.sledilnik.org/en/stats
