,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
17323,Solomon Islands,SLB,2021-03-23,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
17324,Solomon Islands,SLB,2021-03-24,124,124,0,,125,0.018089883378606668,0.018089883378606668,0.0,182.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
17325,Solomon Islands,SLB,2021-03-25,249,249,0,,125,0.03632565291349243,0.03632565291349243,0.0,182.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
17326,Solomon Islands,SLB,2021-03-26,374,374,0,,125,0.05456142244837819,0.05456142244837819,0.0,182.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
17327,Solomon Islands,SLB,2021-03-27,499,499,0,,125,0.07279719198326394,0.07279719198326394,0.0,182.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
17328,Solomon Islands,SLB,2021-03-28,624,624,0,,125,0.0910329615181497,0.0910329615181497,0.0,182.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
17329,Solomon Islands,SLB,2021-03-29,749,749,0,,125,0.10926873105303546,0.10926873105303546,0.0,182.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
17330,Solomon Islands,SLB,2021-03-30,874,874,0,,125,0.1275045005879212,0.1275045005879212,0.0,182.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
17331,Solomon Islands,SLB,2021-03-31,998,998,0,,125,0.14559438396652788,0.14559438396652788,0.0,182.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
17332,Solomon Islands,SLB,2021-04-01,1123,1123,0,,125,0.16383015350141364,0.16383015350141364,0.0,182.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
17333,Solomon Islands,SLB,2021-04-02,1248,1248,0,,125,0.1820659230362994,0.1820659230362994,0.0,182.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
17334,Solomon Islands,SLB,2021-04-03,1373,1373,0,,125,0.20030169257118516,0.20030169257118516,0.0,182.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
17335,Solomon Islands,SLB,2021-04-04,1498,1498,0,,125,0.21853746210607092,0.21853746210607092,0.0,182.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
17336,Solomon Islands,SLB,2021-04-05,1623,1623,0,,125,0.23677323164095665,0.23677323164095665,0.0,182.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
