,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
17387,Somalia,SOM,2021-04-17,117567,0,0,,0,0.74,0.74,0.0,0.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17388,Somalia,SOM,2021-04-18,117967,117967,0,,400,0.7425612941805936,0.7425612941805936,0.0,25.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17389,Somalia,SOM,2021-04-19,118367,118367,0,,400,0.7450791552576086,0.7450791552576086,0.0,25.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17390,Somalia,SOM,2021-04-20,118767,118767,0,,400,0.7475970163346237,0.7475970163346237,0.0,25.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17391,Somalia,SOM,2021-04-21,119167,119167,0,,400,0.7501148774116388,0.7501148774116388,0.0,25.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17392,Somalia,SOM,2021-04-22,119568,119568,0,,400,0.7526390331413464,0.7526390331413464,0.0,25.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17393,Somalia,SOM,2021-04-23,119968,119968,0,,400,0.7551568942183615,0.7551568942183615,0.0,25.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17394,Somalia,SOM,2021-04-24,120368,120368,0,,400,0.7576747552953766,0.7576747552953766,0.0,25.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17395,Somalia,SOM,2021-04-25,120768,120768,0,,400,0.7601926163723917,0.7601926163723917,0.0,25.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17396,Somalia,SOM,2021-04-26,121168,121168,0,,400,0.7627104774494067,0.7627104774494067,0.0,25.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17397,Somalia,SOM,2021-04-27,121569,121569,0,,400,0.7652346331791143,0.7652346331791143,0.0,25.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17398,Somalia,SOM,2021-04-28,121969,121969,0,,400,0.7677524942561295,0.7677524942561295,0.0,25.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17399,Somalia,SOM,2021-04-29,122369,122369,0,,400,0.7702703553331445,0.7702703553331445,0.0,25.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17400,Somalia,SOM,2021-04-30,122769,122769,0,,400,0.7727882164101595,0.7727882164101595,0.0,25.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17401,Somalia,SOM,2021-05-01,123169,123169,0,,400,0.7753060774871746,0.7753060774871746,0.0,25.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17402,Somalia,SOM,2021-05-02,123570,123570,0,,400,0.78,0.78,0.0,25.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17403,Somalia,SOM,2021-05-03,123634,123634,0,,352,0.7782330909892047,0.7782330909892047,0.0,22.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17404,Somalia,SOM,2021-05-04,123698,123698,0,,304,0.7786359487615271,0.7786359487615271,0.0,19.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17405,Somalia,SOM,2021-05-05,123763,123763,0,,256,0.779045101186542,0.779045101186542,0.0,16.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17406,Somalia,SOM,2021-05-06,123827,123827,0,,208,0.7794479589588644,0.7794479589588644,0.0,13.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17407,Somalia,SOM,2021-05-07,123891,123891,0,,160,0.7798508167311868,0.7798508167311868,0.0,10.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17408,Somalia,SOM,2021-05-08,123956,123956,0,,112,0.7802599691562018,0.7802599691562018,0.0,7.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17409,Somalia,SOM,2021-05-09,124020,124020,0,,64,0.7806628269285242,0.7806628269285242,0.0,4.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17410,Somalia,SOM,2021-05-10,124084,124084,0,,64,0.7810656847008466,0.7810656847008466,0.0,4.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17411,Somalia,SOM,2021-05-11,124149,124149,0,,64,0.7814748371258615,0.7814748371258615,0.0,4.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17412,Somalia,SOM,2021-05-12,124213,124213,0,,64,0.781877694898184,0.781877694898184,0.0,4.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17413,Somalia,SOM,2021-05-13,124277,124277,0,,64,0.7822805526705063,0.7822805526705063,0.0,4.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17414,Somalia,SOM,2021-05-14,124342,124342,0,,64,0.7826897050955214,0.7826897050955214,0.0,4.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17415,Somalia,SOM,2021-05-15,124406,124406,0,,64,0.7830925628678438,0.7830925628678438,0.0,4.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17416,Somalia,SOM,2021-05-16,124471,124471,0,,64,0.78,0.78,0.0,4.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17417,Somalia,SOM,2021-05-17,124562,124562,0,,68,0.7840745286878796,0.7840745286878796,0.0,4.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17418,Somalia,SOM,2021-05-18,124654,124654,0,,72,0.7846536367355932,0.7846536367355932,0.0,5.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17419,Somalia,SOM,2021-05-19,124746,124746,0,,76,0.7852327447833065,0.7852327447833065,0.0,5.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17420,Somalia,SOM,2021-05-20,124838,124838,0,,80,0.7858118528310201,0.7858118528310201,0.0,5.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17421,Somalia,SOM,2021-05-21,124929,124929,0,,84,0.7863846662260411,0.7863846662260411,0.0,5.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17422,Somalia,SOM,2021-05-22,125021,125021,0,,88,0.7869637742737544,0.7869637742737544,0.0,6.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17423,Somalia,SOM,2021-05-23,125113,125113,0,,92,0.7875428823214679,0.7875428823214679,0.0,6.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17424,Somalia,SOM,2021-05-24,125205,125205,0,,92,0.79,0.79,0.0,6.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17425,Somalia,SOM,2021-05-25,125582,125582,0,377.0,132,0.79,0.79,0.0,8.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
