,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
17426,South Africa,ZAF,2021-02-16,0,0,0,,0,0.0,0.0,0.0,0.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17427,South Africa,ZAF,2021-02-17,1130,1130,0,,1130,0.0019085430881301357,0.0019085430881301357,0.0,19.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17428,South Africa,ZAF,2021-02-18,2260,2260,2260,,1130,0.0,0.0,0.0,19.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17429,South Africa,ZAF,2021-02-19,6524,6524,6524,4264.0,2175,0.01,0.01,0.01,37.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17430,South Africa,ZAF,2021-02-20,10414,10414,10414,3890.0,2604,0.02,0.02,0.02,44.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17431,South Africa,ZAF,2021-02-21,15388,15388,15388,4974.0,3078,0.03,0.03,0.03,52.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17432,South Africa,ZAF,2021-02-22,23059,23059,23059,7671.0,3843,0.04,0.04,0.04,65.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17433,South Africa,ZAF,2021-02-23,32315,32315,32315,9256.0,4616,0.05,0.05,0.05,78.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17434,South Africa,ZAF,2021-02-24,41809,41809,41809,9494.0,5811,0.07,0.07,0.07,98.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17435,South Africa,ZAF,2021-02-25,52647,52647,52647,10838.0,7198,0.09,0.09,0.09,121.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17436,South Africa,ZAF,2021-02-26,63648,63648,63648,11001.0,8161,0.11,0.11,0.11,138.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17437,South Africa,ZAF,2021-02-27,67303,67303,67303,3655.0,8127,0.11,0.11,0.11,137.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17438,South Africa,ZAF,2021-02-28,70527,70527,70527,3224.0,7877,0.12,0.12,0.12,133.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17439,South Africa,ZAF,2021-03-01,73047,73047,73047,2520.0,7141,0.12,0.12,0.12,120.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17440,South Africa,ZAF,2021-03-02,76037,76037,76037,2990.0,6246,0.13,0.13,0.13,105.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17441,South Africa,ZAF,2021-03-03,83570,83570,83570,7533.0,5966,0.14,0.14,0.14,101.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17442,South Africa,ZAF,2021-03-04,92029,92029,92029,8459.0,5626,0.16,0.16,0.16,95.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17443,South Africa,ZAF,2021-03-05,100180,100180,100180,8151.0,5219,0.17,0.17,0.17,88.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17444,South Africa,ZAF,2021-03-06,101573,101573,101573,1393.0,4896,0.17,0.17,0.17,83.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17445,South Africa,ZAF,2021-03-07,101573,101573,101573,0.0,4435,0.17,0.17,0.17,75.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17446,South Africa,ZAF,2021-03-08,101841,101841,101841,268.0,4113,0.17,0.17,0.17,69.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17447,South Africa,ZAF,2021-03-09,107054,107054,107054,5213.0,4431,0.18,0.18,0.18,75.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17448,South Africa,ZAF,2021-03-10,128887,128887,128887,21833.0,6474,0.22,0.22,0.22,109.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17449,South Africa,ZAF,2021-03-11,138014,138014,138014,9127.0,6569,0.23,0.23,0.23,111.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17450,South Africa,ZAF,2021-03-12,145215,145215,145215,7201.0,6434,0.24,0.24,0.24,108.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17451,South Africa,ZAF,2021-03-13,145544,145544,145544,329.0,6282,0.25,0.25,0.25,106.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17452,South Africa,ZAF,2021-03-14,146648,146648,0,,6439,0.24768497945850276,0.24768497945850276,0.0,109.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17453,South Africa,ZAF,2021-03-15,147753,147753,147753,,6559,0.25,0.25,0.25,111.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17454,South Africa,ZAF,2021-03-16,157286,157286,157286,9533.0,7176,0.27,0.27,0.27,121.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17455,South Africa,ZAF,2021-03-17,168413,168413,168413,11127.0,5647,0.28,0.28,0.28,95.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17456,South Africa,ZAF,2021-03-18,177275,177275,177275,8862.0,5609,0.3,0.3,0.3,95.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17457,South Africa,ZAF,2021-03-19,182983,182983,182983,5708.0,5395,0.31,0.31,0.31,91.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17458,South Africa,ZAF,2021-03-20,185801,185801,0,,5751,0.3138134639979357,0.3138134639979357,0.0,97.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17459,South Africa,ZAF,2021-03-21,188620,188620,0,,5996,0.3185746878611559,0.3185746878611559,0.0,101.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17460,South Africa,ZAF,2021-03-22,191438,191438,0,,6241,0.32333422274819196,0.32333422274819196,0.0,105.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17461,South Africa,ZAF,2021-03-23,194257,194257,194257,,5282,0.33,0.33,0.33,89.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17462,South Africa,ZAF,2021-03-24,207808,207808,207808,13551.0,5628,0.35,0.35,0.35,95.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17463,South Africa,ZAF,2021-03-25,220129,220129,220129,12321.0,6122,0.37,0.37,0.37,103.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17464,South Africa,ZAF,2021-03-26,231002,231002,231002,10873.0,6860,0.39,0.39,0.39,116.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17465,South Africa,ZAF,2021-03-27,231605,231605,231605,603.0,6543,0.39,0.39,0.39,110.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17466,South Africa,ZAF,2021-03-28,235635,235635,0,,6716,0.3979819031606588,0.3979819031606588,0.0,113.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17467,South Africa,ZAF,2021-03-29,239665,239665,239665,,6890,0.4,0.4,0.4,116.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17468,South Africa,ZAF,2021-03-30,251707,251707,251707,12042.0,8207,0.42,0.42,0.42,138.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17469,South Africa,ZAF,2021-03-31,263878,263878,263878,12171.0,8010,0.44,0.44,0.44,135.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17470,South Africa,ZAF,2021-04-01,269102,269102,269102,5224.0,6996,0.45,0.45,0.45,118.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17471,South Africa,ZAF,2021-04-02,269769,269769,0,,5538,0.4556334162316624,0.4556334162316624,0.0,93.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17472,South Africa,ZAF,2021-04-03,270436,270436,0,,5547,0.4567599633465144,0.4567599633465144,0.0,94.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17473,South Africa,ZAF,2021-04-04,271103,271103,0,,5067,0.45788651046136647,0.45788651046136647,0.0,85.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17474,South Africa,ZAF,2021-04-05,271770,271770,0,,4587,0.45901305757621846,0.45901305757621846,0.0,77.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17475,South Africa,ZAF,2021-04-06,272438,272438,272438,,2962,0.46,0.46,0.46,50.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17476,South Africa,ZAF,2021-04-07,278909,278909,278909,6471.0,2147,0.47,0.47,0.47,36.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17477,South Africa,ZAF,2021-04-08,283629,283629,283629,4720.0,2075,0.48,0.48,0.48,35.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17478,South Africa,ZAF,2021-04-09,288368,288368,288368,4739.0,2657,0.49,0.49,0.49,45.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17479,South Africa,ZAF,2021-04-10,288406,288406,288406,38.0,2567,0.49,0.49,0.49,43.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17480,South Africa,ZAF,2021-04-11,289096,289096,0,,2570,0.4882762589434245,0.4882762589434245,0.0,43.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17481,South Africa,ZAF,2021-04-12,289787,289787,289787,,2574,0.49,0.49,0.49,43.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17482,South Africa,ZAF,2021-04-13,292623,292623,292623,2836.0,2884,0.49,0.49,0.49,49.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17483,South Africa,ZAF,2021-04-14,292991,292991,0,,2012,0.49485482118082874,0.49485482118082874,0.0,34.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17484,South Africa,ZAF,2021-04-15,293360,293360,0,,1390,0.4954780533927934,0.4954780533927934,0.0,23.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17485,South Africa,ZAF,2021-04-16,293729,293729,0,,766,0.49610128560475797,0.49610128560475797,0.0,13.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17486,South Africa,ZAF,2021-04-17,294097,294097,0,,813,0.4967228288405384,0.4967228288405384,0.0,14.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17487,South Africa,ZAF,2021-04-18,294466,294466,0,,767,0.49734606105250306,0.49734606105250306,0.0,13.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17488,South Africa,ZAF,2021-04-19,294835,294835,0,,721,0.49796929326446765,0.49796929326446765,0.0,12.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17489,South Africa,ZAF,2021-04-20,295203,295203,0,,369,0.4985908365002481,0.4985908365002481,0.0,6.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17490,South Africa,ZAF,2021-04-21,295572,295572,0,,369,0.49921406871221274,0.49921406871221274,0.0,6.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17491,South Africa,ZAF,2021-04-22,295941,295941,0,,369,0.49983730092417733,0.49983730092417733,0.0,6.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17492,South Africa,ZAF,2021-04-23,296309,296309,0,,369,0.5004588441599578,0.5004588441599578,0.0,6.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17493,South Africa,ZAF,2021-04-24,296678,296678,0,,369,0.5010820763719224,0.5010820763719224,0.0,6.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17494,South Africa,ZAF,2021-04-25,297047,297047,0,,369,0.5017053085838871,0.5017053085838871,0.0,6.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17495,South Africa,ZAF,2021-04-26,297415,297415,0,,369,0.5023268518196675,0.5023268518196675,0.0,6.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17496,South Africa,ZAF,2021-04-27,297784,297784,0,,369,0.5029500840316321,0.5029500840316321,0.0,6.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17497,South Africa,ZAF,2021-04-28,298153,298153,298153,,369,0.5,0.5,0.5,6.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17498,South Africa,ZAF,2021-04-29,307591,307591,307591,9438.0,1664,0.52,0.52,0.52,28.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17499,South Africa,ZAF,2021-04-30,317656,317656,317656,10065.0,3049,0.54,0.54,0.54,51.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17500,South Africa,ZAF,2021-05-01,318670,318670,318670,1014.0,3142,0.54,0.54,0.54,53.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17501,South Africa,ZAF,2021-05-02,323884,323884,0,,3834,0.5470323624388856,0.5470323624388856,0.0,65.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17502,South Africa,ZAF,2021-05-03,329098,329098,329098,,4526,0.55,0.55,0.55,76.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17503,South Africa,ZAF,2021-05-04,353181,353181,353181,24083.0,7914,0.6,0.6,0.6,133.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17504,South Africa,ZAF,2021-05-05,366101,366101,366101,12920.0,9707,0.62,0.62,0.62,164.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17505,South Africa,ZAF,2021-05-06,373636,373636,0,,9435,0.6310623055545056,0.6310623055545056,0.0,159.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17506,South Africa,ZAF,2021-05-07,381171,381171,381171,,9074,0.64,0.64,0.64,153.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17507,South Africa,ZAF,2021-05-08,382480,382480,382480,1309.0,9116,0.64,0.64,0.64,154.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17508,South Africa,ZAF,2021-05-09,388855,388855,0,,9282,0.6567668341016317,0.6567668341016317,0.0,157.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17509,South Africa,ZAF,2021-05-10,395230,395230,395230,,9447,0.67,0.67,0.67,159.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17510,South Africa,ZAF,2021-05-11,414372,414372,414372,19142.0,8742,0.7,0.7,0.7,147.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17511,South Africa,ZAF,2021-05-12,430730,430730,430730,16358.0,9233,0.73,0.73,0.73,156.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17512,South Africa,ZAF,2021-05-13,455169,455169,455169,24439.0,11648,0.77,0.77,0.77,196.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17513,South Africa,ZAF,2021-05-14,476033,476033,0,19149.0,13307,0.8,0.8040083998865953,0.0,224.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17514,South Africa,ZAF,2021-05-15,496897,496897,0,4134.0,13710,0.81,0.8392471989934513,0.0,231.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17515,South Africa,ZAF,2021-05-16,517761,517761,0,281.0,12840,0.81,0.8744859981003071,0.0,216.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17516,South Africa,ZAF,2021-05-17,538625,538625,0,,14815,0.8426910214330066,0.909724797207163,0.0,250.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17517,South Africa,ZAF,2021-05-18,559489,559489,0,,14967,0.88,0.9449635963140188,0.0,252.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17518,South Africa,ZAF,2021-05-19,580353,580353,0,39031.0,18206,0.94,0.9802023954208748,0.0,307.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17519,South Africa,ZAF,2021-05-20,601217,601217,0,39236.0,20320,1.01,1.0154411945277306,0.0,343.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17520,South Africa,ZAF,2021-05-21,642382,622081,20300,44976.0,24009,1.08,1.0506799936345865,0.034286216538975,405.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17521,South Africa,ZAF,2021-05-22,642946,642946,480665,564.0,23499,1.08,1.08,0.81,396.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17522,South Africa,ZAF,2021-05-23,647983,642946,5037,5037.0,24179,1.09,1.0859204817176267,0.008507373039744684,408.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17523,South Africa,ZAF,2021-05-24,651628,642946,8682,3645.0,21813,1.1,1.0859204817176267,0.01466369123110251,368.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
17524,South Africa,ZAF,2021-05-25,700904,642946,57958,49276.0,25966,1.18,1.0859204817176267,0.0978896816830499,438.0,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/
