,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
17525,South Korea,KOR,2021-02-25,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
17526,South Korea,KOR,2021-02-26,18489,18489,0,18489.0,18489,0.04,0.04,0.0,361.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
17527,South Korea,KOR,2021-02-27,20322,20322,0,1833.0,10161,0.04,0.04,0.0,198.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
17528,South Korea,KOR,2021-02-28,21177,21177,0,855.0,7059,0.04,0.04,0.0,138.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
17529,South Korea,KOR,2021-03-01,54302,54302,0,,13576,0.10642707045896581,0.10642707045896581,0.0,265.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
17530,South Korea,KOR,2021-03-02,87428,87428,0,,17486,0.17,0.17,0.0,341.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
17531,South Korea,KOR,2021-03-03,154421,154421,0,66993.0,25737,0.3,0.3,0.0,502.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
17532,South Korea,KOR,2021-03-04,225853,225853,0,71432.0,32265,0.44,0.44,0.0,629.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
17533,South Korea,KOR,2021-03-05,296380,296380,0,70527.0,39699,0.58,0.58,0.0,774.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
17534,South Korea,KOR,2021-03-06,314656,314656,0,18276.0,42048,0.61,0.61,0.0,820.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
17535,South Korea,KOR,2021-03-07,316865,316865,0,2209.0,42241,0.62,0.62,0.0,824.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
17536,South Korea,KOR,2021-03-08,383346,383346,0,66481.0,47006,0.75,0.75,0.0,917.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
17537,South Korea,KOR,2021-03-09,446941,446941,0,63595.0,51359,0.87,0.87,0.0,1002.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
17538,South Korea,KOR,2021-03-10,500635,500635,0,53694.0,49459,0.98,0.98,0.0,965.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
17539,South Korea,KOR,2021-03-11,546277,546277,0,45642.0,45775,1.07,1.07,0.0,893.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
17540,South Korea,KOR,2021-03-12,583658,583658,0,37381.0,41040,1.14,1.14,0.0,800.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
17541,South Korea,KOR,2021-03-13,587884,587884,0,4226.0,39033,1.15,1.15,0.0,761.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
17542,South Korea,KOR,2021-03-14,588958,588958,0,1074.0,38870,1.15,1.15,0.0,758.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
17543,South Korea,KOR,2021-03-15,602150,602150,0,13192.0,31258,1.17,1.17,0.0,610.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
17544,South Korea,KOR,2021-03-16,621734,621734,0,19584.0,24970,1.21,1.21,0.0,487.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
17545,South Korea,KOR,2021-03-17,641331,641331,0,19597.0,20099,1.25,1.25,0.0,392.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
17546,South Korea,KOR,2021-03-18,659475,659475,0,18144.0,16171,1.29,1.29,0.0,315.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
17547,South Korea,KOR,2021-03-19,675426,675426,0,15951.0,13110,1.32,1.32,0.0,256.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
17548,South Korea,KOR,2021-03-20,676900,676587,313,1474.0,12717,1.32,1.32,0.0,248.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
