,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
17615,South Sudan,SSD,2021-04-05,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
17616,South Sudan,SSD,2021-04-06,94,94,0,,95,0.0008839903701474571,0.0008839903701474571,0.0,8.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
17617,South Sudan,SSD,2021-04-07,189,189,0,,95,0.0017773848931688233,0.0017773848931688233,0.0,8.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
17618,South Sudan,SSD,2021-04-08,284,284,0,,95,0.00267077941619019,0.00267077941619019,0.0,8.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
17619,South Sudan,SSD,2021-04-09,378,378,0,,95,0.0035547697863376466,0.0035547697863376466,0.0,8.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
17620,South Sudan,SSD,2021-04-10,473,473,0,,95,0.004448164309359013,0.004448164309359013,0.0,8.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
17621,South Sudan,SSD,2021-04-11,568,568,0,,95,0.00534155883238038,0.00534155883238038,0.0,8.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
17622,South Sudan,SSD,2021-04-12,662,662,0,,95,0.006225549202527837,0.006225549202527837,0.0,8.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
17623,South Sudan,SSD,2021-04-13,757,757,0,,95,0.007118943725549202,0.007118943725549202,0.0,8.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
17624,South Sudan,SSD,2021-04-14,852,852,0,,95,0.008012338248570568,0.008012338248570568,0.0,8.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
17625,South Sudan,SSD,2021-04-15,947,947,0,,95,0.01,0.01,0.0,8.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
17626,South Sudan,SSD,2021-04-16,1114,1114,0,,105,0.010476226301534757,0.010476226301534757,0.0,9.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
17627,South Sudan,SSD,2021-04-17,1281,1281,0,,115,0.01204671983147758,0.01204671983147758,0.0,10.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
17628,South Sudan,SSD,2021-04-18,1448,1448,0,,126,0.013617213361420404,0.013617213361420404,0.0,11.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
17629,South Sudan,SSD,2021-04-19,1615,1615,0,,136,0.015187706891363225,0.015187706891363225,0.0,12.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
17630,South Sudan,SSD,2021-04-20,1782,1782,0,,146,0.016758200421306046,0.016758200421306046,0.0,13.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
17631,South Sudan,SSD,2021-04-21,1949,1949,0,,157,0.01832869395124887,0.01832869395124887,0.0,14.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
17632,South Sudan,SSD,2021-04-22,2116,2116,0,,167,0.019899187481191696,0.019899187481191696,0.0,15.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
17633,South Sudan,SSD,2021-04-23,2283,2283,0,,167,0.021469681011134518,0.021469681011134518,0.0,15.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
17634,South Sudan,SSD,2021-04-24,2451,2451,0,,167,0.02304957869395125,0.02304957869395125,0.0,15.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
17635,South Sudan,SSD,2021-04-25,2618,2618,0,,167,0.02462007222389407,0.02462007222389407,0.0,15.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
17636,South Sudan,SSD,2021-04-26,2785,2785,0,,167,0.026190565753836895,0.026190565753836895,0.0,15.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
17637,South Sudan,SSD,2021-04-27,2952,2952,0,,167,0.027761059283779716,0.027761059283779716,0.0,15.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
17638,South Sudan,SSD,2021-04-28,3119,3119,0,,167,0.02933155281372254,0.02933155281372254,0.0,15.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
17639,South Sudan,SSD,2021-04-29,3286,3286,0,,167,0.03090204634366536,0.03090204634366536,0.0,15.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
