,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
17807,Sri Lanka,LKA,2021-01-28,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-25-05_10_21.pdf
17808,Sri Lanka,LKA,2021-01-29,5286,5286,0,5286.0,5286,0.02,0.02,0.0,247.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-25-05_10_21.pdf
17809,Sri Lanka,LKA,2021-01-30,37825,37825,0,32539.0,18912,0.18,0.18,0.0,883.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-25-05_10_21.pdf
17810,Sri Lanka,LKA,2021-01-31,59154,59154,0,21329.0,19718,0.28,0.28,0.0,921.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-25-05_10_21.pdf
17811,Sri Lanka,LKA,2021-02-01,95550,95550,0,36396.0,23888,0.45,0.45,0.0,1116.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-25-05_10_21.pdf
17812,Sri Lanka,LKA,2021-02-02,118767,118767,0,23217.0,23753,0.55,0.55,0.0,1109.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-25-05_10_21.pdf
17813,Sri Lanka,LKA,2021-02-03,139914,139914,0,21147.0,23319,0.65,0.65,0.0,1089.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-25-05_10_21.pdf
17814,Sri Lanka,LKA,2021-02-04,146327,146327,0,6413.0,20904,0.68,0.68,0.0,976.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-25-05_10_21.pdf
17815,Sri Lanka,LKA,2021-02-05,156310,156310,0,9983.0,21575,0.73,0.73,0.0,1008.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-25-05_10_21.pdf
17816,Sri Lanka,LKA,2021-02-06,160148,160148,0,3838.0,17475,0.75,0.75,0.0,816.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-25-05_10_21.pdf
17817,Sri Lanka,LKA,2021-02-07,161773,161773,0,1625.0,14660,0.76,0.76,0.0,685.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-25-05_10_21.pdf
17818,Sri Lanka,LKA,2021-02-08,167762,167762,0,5989.0,10316,0.78,0.78,0.0,482.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-25-05_10_21.pdf
17819,Sri Lanka,LKA,2021-02-09,174193,174193,0,6431.0,7918,0.81,0.81,0.0,370.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-25-05_10_21.pdf
17820,Sri Lanka,LKA,2021-02-10,176725,176725,0,2532.0,5259,0.83,0.83,0.0,246.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-25-05_10_21.pdf
17821,Sri Lanka,LKA,2021-02-11,178087,178087,0,1362.0,4537,0.83,0.83,0.0,212.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-25-05_10_21.pdf
17822,Sri Lanka,LKA,2021-02-12,179197,179197,0,1110.0,3270,0.84,0.84,0.0,153.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-25-05_10_21.pdf
17823,Sri Lanka,LKA,2021-02-13,186654,186654,0,7457.0,3787,0.87,0.87,0.0,177.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-25-05_10_21.pdf
17824,Sri Lanka,LKA,2021-02-14,189349,189349,0,2695.0,3939,0.88,0.88,0.0,184.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-25-05_10_21.pdf
17825,Sri Lanka,LKA,2021-02-15,192938,192938,0,3589.0,3597,0.9,0.9,0.0,168.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-25-05_10_21.pdf
17826,Sri Lanka,LKA,2021-02-16,196163,196163,0,3225.0,3139,0.92,0.92,0.0,147.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-25-05_10_21.pdf
17827,Sri Lanka,LKA,2021-02-17,210405,210405,0,14242.0,4811,0.98,0.98,0.0,225.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-25-05_10_21.pdf
17828,Sri Lanka,LKA,2021-02-18,233472,233472,0,23067.0,7912,1.09,1.09,0.0,369.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-25-05_10_21.pdf
17829,Sri Lanka,LKA,2021-02-19,263779,263779,0,30307.0,12083,1.23,1.23,0.0,564.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-25-05_10_21.pdf
17830,Sri Lanka,LKA,2021-02-20,302857,302857,0,39078.0,16600,1.41,1.41,0.0,775.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-25-05_10_21.pdf
17831,Sri Lanka,LKA,2021-02-21,338769,338769,0,35912.0,21346,1.58,1.58,0.0,997.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-25-05_10_21.pdf
17832,Sri Lanka,LKA,2021-02-22,354352,354352,0,15583.0,23059,1.65,1.65,0.0,1077.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-25-05_10_21.pdf
17833,Sri Lanka,LKA,2021-02-23,366907,366907,0,12555.0,24392,1.71,1.71,0.0,1139.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-25-05_10_21.pdf
17834,Sri Lanka,LKA,2021-02-24,393469,393469,0,26562.0,26152,1.84,1.84,0.0,1221.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-25-05_10_21.pdf
