,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
17925,Sudan,SDN,2021-03-10,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17926,Sudan,SDN,2021-03-11,1658,1658,0,,1659,0.003839625022868696,0.003839625022868696,0.0,38.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17927,Sudan,SDN,2021-03-12,3317,3317,0,,1659,0.007681565863000882,0.007681565863000882,0.0,38.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17928,Sudan,SDN,2021-03-13,4975,4975,0,,1659,0.011521190885869578,0.011521190885869578,0.0,38.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17929,Sudan,SDN,2021-03-14,6634,6634,0,,1659,0.015363131726001764,0.015363131726001764,0.0,38.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17930,Sudan,SDN,2021-03-15,8292,8292,0,,1659,0.01920275674887046,0.01920275674887046,0.0,38.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17931,Sudan,SDN,2021-03-16,9951,9951,0,,1659,0.023044697589002645,0.023044697589002645,0.0,38.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17932,Sudan,SDN,2021-03-17,11609,11609,0,,1659,0.026884322611871344,0.026884322611871344,0.0,38.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17933,Sudan,SDN,2021-03-18,13268,13268,0,,1659,0.03072626345200353,0.03072626345200353,0.0,38.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17934,Sudan,SDN,2021-03-19,14926,14926,0,,1659,0.03456588847487223,0.03456588847487223,0.0,38.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
17935,Sudan,SDN,2021-03-20,16585,16585,0,,1659,0.03840782931500441,0.03840782931500441,0.0,38.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
