,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
17986,Suriname,SUR,2021-02-22,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,Government of Suriname,https://laatjevaccineren.sr/
17987,Suriname,SUR,2021-02-23,367,367,0,,368,0.06173950638675847,0.06173950638675847,0.0,627.0,Oxford/AstraZeneca,Government of Suriname,https://laatjevaccineren.sr/
17988,Suriname,SUR,2021-02-24,735,735,0,,368,0.12364724031135553,0.12364724031135553,0.0,627.0,Oxford/AstraZeneca,Government of Suriname,https://laatjevaccineren.sr/
17989,Suriname,SUR,2021-02-25,1103,1103,0,,368,0.18555497423595257,0.18555497423595257,0.0,627.0,Oxford/AstraZeneca,Government of Suriname,https://laatjevaccineren.sr/
17990,Suriname,SUR,2021-02-26,1471,1471,0,,368,0.24746270816054963,0.24746270816054963,0.0,627.0,Oxford/AstraZeneca,Government of Suriname,https://laatjevaccineren.sr/
17991,Suriname,SUR,2021-02-27,1839,1839,0,,368,0.3093704420851467,0.3093704420851467,0.0,627.0,Oxford/AstraZeneca,Government of Suriname,https://laatjevaccineren.sr/
17992,Suriname,SUR,2021-02-28,2207,2207,0,,368,0.3712781760097437,0.3712781760097437,0.0,627.0,Oxford/AstraZeneca,Government of Suriname,https://laatjevaccineren.sr/
17993,Suriname,SUR,2021-03-01,2574,2574,0,,368,0.4330176823965022,0.4330176823965022,0.0,627.0,Oxford/AstraZeneca,Government of Suriname,https://laatjevaccineren.sr/
17994,Suriname,SUR,2021-03-02,2942,2942,0,,368,0.49492541632109927,0.49492541632109927,0.0,627.0,Oxford/AstraZeneca,Government of Suriname,https://laatjevaccineren.sr/
17995,Suriname,SUR,2021-03-03,3310,3310,0,,368,0.5568331502456964,0.5568331502456964,0.0,627.0,Oxford/AstraZeneca,Government of Suriname,https://laatjevaccineren.sr/
17996,Suriname,SUR,2021-03-04,3678,3678,0,,368,0.6187408841702934,0.6187408841702934,0.0,627.0,Oxford/AstraZeneca,Government of Suriname,https://laatjevaccineren.sr/
17997,Suriname,SUR,2021-03-05,4046,4046,0,,368,0.6806486180948904,0.6806486180948904,0.0,627.0,Oxford/AstraZeneca,Government of Suriname,https://laatjevaccineren.sr/
17998,Suriname,SUR,2021-03-06,4414,4414,0,,368,0.7425563520194874,0.7425563520194874,0.0,627.0,Oxford/AstraZeneca,Government of Suriname,https://laatjevaccineren.sr/
17999,Suriname,SUR,2021-03-07,4781,4781,0,,368,0.804295858406246,0.804295858406246,0.0,627.0,Oxford/AstraZeneca,Government of Suriname,https://laatjevaccineren.sr/
18000,Suriname,SUR,2021-03-08,5149,5149,0,,368,0.866203592330843,0.866203592330843,0.0,627.0,Oxford/AstraZeneca,Government of Suriname,https://laatjevaccineren.sr/
18001,Suriname,SUR,2021-03-09,5517,5517,0,,368,0.92811132625544,0.92811132625544,0.0,627.0,Oxford/AstraZeneca,Government of Suriname,https://laatjevaccineren.sr/
18002,Suriname,SUR,2021-03-10,5885,5885,0,,368,0.9900190601800372,0.9900190601800372,0.0,627.0,Oxford/AstraZeneca,Government of Suriname,https://laatjevaccineren.sr/
18003,Suriname,SUR,2021-03-11,6253,6253,0,,368,1.0519267941046342,1.0519267941046342,0.0,627.0,Oxford/AstraZeneca,Government of Suriname,https://laatjevaccineren.sr/
18004,Suriname,SUR,2021-03-12,6621,6621,0,,368,1.1138345280292312,1.1138345280292312,0.0,627.0,Oxford/AstraZeneca,Government of Suriname,https://laatjevaccineren.sr/
18005,Suriname,SUR,2021-03-13,6988,6988,0,,368,1.1755740344159897,1.1755740344159897,0.0,627.0,Oxford/AstraZeneca,Government of Suriname,https://laatjevaccineren.sr/
