,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
18229,Switzerland,CHE,2021-01-24,0,0,0,,0,2.26,0.0,0.0,0.0,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=CH
18230,Switzerland,CHE,2021-01-25,212023,21172,190850,16468.0,16468,2.45,0.24464518013636438,2.2052962700276373,1903.0,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=CH
18231,Switzerland,CHE,2021-01-26,234773,42345,192427,22750.0,19609,2.71,0.4893019154012068,2.2235187076374547,2266.0,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=CH
18232,Switzerland,CHE,2021-01-27,261404,63518,197886,26631.0,21950,3.02,0.7339586506660492,2.286598153998895,2536.0,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=CH
18233,Switzerland,CHE,2021-01-28,286068,84690,201377,24664.0,22628,3.31,0.9786038308024136,2.3269371075156173,2615.0,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=CH
18234,Switzerland,CHE,2021-01-29,308892,105863,203028,22824.0,22667,3.57,1.223260566067256,2.346014624632807,2619.0,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=CH
18235,Switzerland,CHE,2021-01-30,314854,127036,187818,5962.0,19883,3.64,1.4679173013320983,2.1702611204823206,2297.0,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=CH
18236,Switzerland,CHE,2021-01-31,317110,148208,168901,2256.0,17365,3.66,1.7125624814684628,1.9516727550638615,2006.0,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=CH
18237,Switzerland,CHE,2021-02-01,332607,169381,163225,15497.0,17226,3.84,1.9572192167333053,1.8860858458226941,1990.0,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=CH
18238,Switzerland,CHE,2021-02-02,351341,190554,160787,18734.0,16653,4.06,2.2018759519981472,1.8579144425933127,1924.0,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=CH
18239,Switzerland,CHE,2021-02-03,372067,211726,160340,20726.0,15809,4.3,2.446521132134512,1.8527493001636437,1827.0,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=CH
18240,Switzerland,CHE,2021-02-04,391498,232899,158598,19431.0,15061,4.52,2.6911778673993543,1.8326202663549556,1740.0,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=CH
