,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
18349,Syria,SYR,2021-03-01,0,0,0,,0,0.0,0.0,0.0,0.0,Sputnik V,Ministry of Health,http://www.xinhuanet.com/english/africa/2021-04/08/c_139867196.htm
18350,Syria,SYR,2021-03-02,65,65,0,,66,0.00026000000000000003,0.00026000000000000003,0.0,4.0,Sputnik V,Ministry of Health,http://www.xinhuanet.com/english/africa/2021-04/08/c_139867196.htm
18351,Syria,SYR,2021-03-03,131,131,0,,66,0.0005239999999999999,0.0005239999999999999,0.0,4.0,Sputnik V,Ministry of Health,http://www.xinhuanet.com/english/africa/2021-04/08/c_139867196.htm
18352,Syria,SYR,2021-03-04,197,197,0,,66,0.0007880000000000001,0.0007880000000000001,0.0,4.0,Sputnik V,Ministry of Health,http://www.xinhuanet.com/english/africa/2021-04/08/c_139867196.htm
18353,Syria,SYR,2021-03-05,263,263,0,,66,0.001052,0.001052,0.0,4.0,Sputnik V,Ministry of Health,http://www.xinhuanet.com/english/africa/2021-04/08/c_139867196.htm
18354,Syria,SYR,2021-03-06,328,328,0,,66,0.001312,0.001312,0.0,4.0,Sputnik V,Ministry of Health,http://www.xinhuanet.com/english/africa/2021-04/08/c_139867196.htm
18355,Syria,SYR,2021-03-07,394,394,0,,66,0.0015760000000000001,0.0015760000000000001,0.0,4.0,Sputnik V,Ministry of Health,http://www.xinhuanet.com/english/africa/2021-04/08/c_139867196.htm
18356,Syria,SYR,2021-03-08,460,460,0,,66,0.00184,0.00184,0.0,4.0,Sputnik V,Ministry of Health,http://www.xinhuanet.com/english/africa/2021-04/08/c_139867196.htm
18357,Syria,SYR,2021-03-09,526,526,0,,66,0.002104,0.002104,0.0,4.0,Sputnik V,Ministry of Health,http://www.xinhuanet.com/english/africa/2021-04/08/c_139867196.htm
18358,Syria,SYR,2021-03-10,592,592,0,,66,0.002368,0.002368,0.0,4.0,Sputnik V,Ministry of Health,http://www.xinhuanet.com/english/africa/2021-04/08/c_139867196.htm
