,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
18388,Taiwan,TWN,2021-03-21,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og
18389,Taiwan,TWN,2021-03-22,1578,1578,0,1578.0,1578,0.01,0.01,0.0,66.0,Oxford/AstraZeneca,Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og
18390,Taiwan,TWN,2021-03-23,3218,3218,0,1640.0,1609,0.01,0.01,0.0,68.0,Oxford/AstraZeneca,Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og
18391,Taiwan,TWN,2021-03-24,5169,5169,0,1951.0,1723,0.02,0.02,0.0,72.0,Oxford/AstraZeneca,Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og
18392,Taiwan,TWN,2021-03-25,7053,7053,0,1884.0,1763,0.03,0.03,0.0,74.0,Oxford/AstraZeneca,Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og
18393,Taiwan,TWN,2021-03-26,9232,9232,0,2179.0,1846,0.04,0.04,0.0,78.0,Oxford/AstraZeneca,Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og
18394,Taiwan,TWN,2021-03-27,9377,9377,0,145.0,1563,0.04,0.04,0.0,66.0,Oxford/AstraZeneca,Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og
18395,Taiwan,TWN,2021-03-28,9412,9412,0,35.0,1345,0.04,0.04,0.0,56.0,Oxford/AstraZeneca,Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og
18396,Taiwan,TWN,2021-03-29,10891,10891,0,1479.0,1330,0.05,0.05,0.0,56.0,Oxford/AstraZeneca,Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og
18397,Taiwan,TWN,2021-03-30,12648,12648,0,1757.0,1347,0.05,0.05,0.0,57.0,Oxford/AstraZeneca,Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og
