,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
18462,Thailand,THA,2021-02-27,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Sinovac",Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-05-26.pdf
18463,Thailand,THA,2021-02-28,159,159,0,,160,0.00022826155725231255,0.00022826155725231255,0.0,2.0,"Oxford/AstraZeneca, Sinovac",Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-05-26.pdf
18464,Thailand,THA,2021-03-01,319,319,0,,160,0.0,0.0,0.0,2.0,"Oxford/AstraZeneca, Sinovac",Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-05-26.pdf
18465,Thailand,THA,2021-03-02,7262,7262,0,6943.0,2421,0.01,0.01,0.0,35.0,"Oxford/AstraZeneca, Sinovac",Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-05-26.pdf
18466,Thailand,THA,2021-03-03,10556,10556,0,,2639,0.015154270429908247,0.015154270429908247,0.0,38.0,"Oxford/AstraZeneca, Sinovac",Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-05-26.pdf
18467,Thailand,THA,2021-03-04,13851,13851,0,,2770,0.01988459641196089,0.01988459641196089,0.0,40.0,"Oxford/AstraZeneca, Sinovac",Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-05-26.pdf
18468,Thailand,THA,2021-03-05,17146,17146,0,,2858,0.024614922394013528,0.024614922394013528,0.0,41.0,"Oxford/AstraZeneca, Sinovac",Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-05-26.pdf
18469,Thailand,THA,2021-03-06,20441,20441,0,,2920,0.029345248376066172,0.029345248376066172,0.0,42.0,"Oxford/AstraZeneca, Sinovac",Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-05-26.pdf
18470,Thailand,THA,2021-03-07,23736,23736,0,,3368,0.03407557435811881,0.03407557435811881,0.0,48.0,"Oxford/AstraZeneca, Sinovac",Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-05-26.pdf
18471,Thailand,THA,2021-03-08,27031,27031,0,,3816,0.03880590034017145,0.03880590034017145,0.0,55.0,"Oxford/AstraZeneca, Sinovac",Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-05-26.pdf
18472,Thailand,THA,2021-03-09,30326,30326,0,,3295,0.04353622632222409,0.04353622632222409,0.0,47.0,"Oxford/AstraZeneca, Sinovac",Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-05-26.pdf
18473,Thailand,THA,2021-03-10,33621,33621,0,,3295,0.05,0.05,0.0,47.0,"Oxford/AstraZeneca, Sinovac",Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-05-26.pdf
18474,Thailand,THA,2021-03-11,40361,40361,0,,3787,0.05794254536012948,0.05794254536012948,0.0,54.0,"Oxford/AstraZeneca, Sinovac",Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-05-26.pdf
18475,Thailand,THA,2021-03-12,47101,47101,0,,4279,0.06761853841598223,0.06761853841598223,0.0,61.0,"Oxford/AstraZeneca, Sinovac",Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-05-26.pdf
18476,Thailand,THA,2021-03-13,53842,53842,0,,4772,0.08,0.08,0.0,68.0,"Oxford/AstraZeneca, Sinovac",Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-05-26.pdf
18477,Thailand,THA,2021-03-14,58224,57691,532,,4927,0.08358679817269589,0.08282161949335323,0.0007637430720643414,71.0,"Oxford/AstraZeneca, Sinovac",Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-05-26.pdf
18478,Thailand,THA,2021-03-15,62607,61541,1065,,5082,0.0898790648735568,0.08834870751487149,0.0015289217514069993,73.0,"Oxford/AstraZeneca, Sinovac",Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-05-26.pdf
18479,Thailand,THA,2021-03-16,66989,65390,1598,,5238,0.09616989596713942,0.09387435992911143,0.0022941004307496567,75.0,"Oxford/AstraZeneca, Sinovac",Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-05-26.pdf
18480,Thailand,THA,2021-03-17,71372,69240,2131,,5393,0.10246216266800033,0.09940144795062969,0.003059279110092315,77.0,"Oxford/AstraZeneca, Sinovac",Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-05-26.pdf
18481,Thailand,THA,2021-03-18,75754,73090,2663,,5056,0.10875299376158293,0.10492853597214796,0.0038230221821566567,72.0,"Oxford/AstraZeneca, Sinovac",Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-05-26.pdf
18482,Thailand,THA,2021-03-19,80137,76939,3197,,4719,0.11504526046244386,0.11045418838638789,0.004589636468777631,68.0,"Oxford/AstraZeneca, Sinovac",Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-05-26.pdf
18483,Thailand,THA,2021-03-20,84519,80789,3729,,4383,0.12133609155602644,0.11598127640790616,0.005353379540841972,63.0,"Oxford/AstraZeneca, Sinovac",Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-05-26.pdf
18484,Thailand,THA,2021-03-21,88902,84639,4262,,4383,0.12762835825688737,0.1215083644294244,0.00611855822018463,63.0,"Oxford/AstraZeneca, Sinovac",Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-05-26.pdf
