,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
18550,Timor,TLS,2021-04-14,2629,0,0,,0,0.2,0.2,0.0,0.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
18551,Timor,TLS,2021-04-15,4101,4101,0,,1472,0.3112241026030204,0.3112241026030204,0.0,1116.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
18552,Timor,TLS,2021-04-16,5573,5573,0,,1472,0.4229338999772331,0.4229338999772331,0.0,1116.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
18553,Timor,TLS,2021-04-17,7045,7045,0,,1472,0.5346436973514457,0.5346436973514457,0.0,1116.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
18554,Timor,TLS,2021-04-18,8517,8517,0,,1472,0.6463534947256583,0.6463534947256583,0.0,1116.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
18555,Timor,TLS,2021-04-19,9989,9989,0,,1472,0.758063292099871,0.758063292099871,0.0,1116.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
18556,Timor,TLS,2021-04-20,11461,11461,0,,1472,0.8697730894740836,0.8697730894740836,0.0,1116.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
18557,Timor,TLS,2021-04-21,12933,12933,0,,1472,0.9814828868482962,0.9814828868482962,0.0,1116.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
18558,Timor,TLS,2021-04-22,14405,14405,0,,1472,1.093192684222509,1.093192684222509,0.0,1116.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
18559,Timor,TLS,2021-04-23,15877,15877,0,,1472,1.2049024815967215,1.2049024815967215,0.0,1116.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
18560,Timor,TLS,2021-04-24,17350,17350,0,,1472,1.316688168778933,1.316688168778933,0.0,1116.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
18561,Timor,TLS,2021-04-25,18822,18822,0,,1472,1.4283979661531456,1.4283979661531456,0.0,1116.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
18562,Timor,TLS,2021-04-26,20294,20294,0,,1472,1.5401077635273583,1.5401077635273583,0.0,1116.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
18563,Timor,TLS,2021-04-27,21766,21766,0,,1472,1.6518175609015708,1.6518175609015708,0.0,1116.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
18564,Timor,TLS,2021-04-28,23238,23238,0,,1472,1.7635273582757836,1.7635273582757836,0.0,1116.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
