,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
18654,Tonga,TON,2021-04-20,2287,0,0,,0,2.16,2.16,0.0,0.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
18655,Tonga,TON,2021-04-21,2919,2727,192,,633,2.7650948221965406,2.583218081579296,0.18187674061724418,5989.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
18656,Tonga,TON,2021-04-22,3552,3167,385,,633,3.3647197014190176,3.000018945493814,0.3647007559252032,5989.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
18657,Tonga,TON,2021-04-23,4185,3607,578,,633,3.964344580641494,3.416819809408332,0.5475247712331621,5989.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
18658,Tonga,TON,2021-04-24,4817,4047,770,,633,4.563022185173256,3.83362067332285,0.7294015118504064,5989.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
18659,Tonga,TON,2021-04-25,5450,4487,963,,633,5.162647064395733,4.250421537237368,0.9122255271583655,5989.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
18660,Tonga,TON,2021-04-26,6083,4927,1156,,633,5.76227194361821,4.667222401151886,1.0950495424663242,5989.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
18661,Tonga,TON,2021-04-27,6716,5367,1349,,633,6.35,5.08,1.28,5989.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
18662,Tonga,TON,2021-04-28,7506,6157,1348,,655,7.11024382850539,5.832370270731107,1.2769262830835686,6197.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
18663,Tonga,TON,2021-04-29,8297,6948,1348,,678,7.859538108860807,6.581664551086525,1.2769262830835686,6415.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
