,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
18690,Trinidad and Tobago,TTO,2021-02-15,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,Ministry of Health,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
18691,Trinidad and Tobago,TTO,2021-02-16,62,62,0,,63,0.004336474012980046,0.004336474012980046,0.0,45.0,Oxford/AstraZeneca,Ministry of Health,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
18692,Trinidad and Tobago,TTO,2021-02-17,125,125,0,,63,0.008742891155201707,0.008742891155201707,0.0,45.0,Oxford/AstraZeneca,Ministry of Health,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
18693,Trinidad and Tobago,TTO,2021-02-18,188,188,0,,63,0.013149308297423366,0.013149308297423366,0.0,45.0,Oxford/AstraZeneca,Ministry of Health,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
18694,Trinidad and Tobago,TTO,2021-02-19,251,251,0,,63,0.017555725439645023,0.017555725439645023,0.0,45.0,Oxford/AstraZeneca,Ministry of Health,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
18695,Trinidad and Tobago,TTO,2021-02-20,314,314,0,,63,0.021962142581866684,0.021962142581866684,0.0,45.0,Oxford/AstraZeneca,Ministry of Health,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
18696,Trinidad and Tobago,TTO,2021-02-21,377,377,0,,63,0.02636855972408834,0.02636855972408834,0.0,45.0,Oxford/AstraZeneca,Ministry of Health,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
18697,Trinidad and Tobago,TTO,2021-02-22,440,440,0,,63,0.03,0.03,0.0,45.0,Oxford/AstraZeneca,Ministry of Health,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
18698,Trinidad and Tobago,TTO,2021-02-23,550,550,0,,70,0.03846872108288751,0.03846872108288751,0.0,50.0,Oxford/AstraZeneca,Ministry of Health,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
18699,Trinidad and Tobago,TTO,2021-02-24,660,660,0,,76,0.04616246529946501,0.04616246529946501,0.0,54.0,Oxford/AstraZeneca,Ministry of Health,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
18700,Trinidad and Tobago,TTO,2021-02-25,770,770,0,,83,0.0538562095160425,0.0538562095160425,0.0,59.0,Oxford/AstraZeneca,Ministry of Health,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
18701,Trinidad and Tobago,TTO,2021-02-26,880,880,0,,90,0.061549953732620004,0.061549953732620004,0.0,64.0,Oxford/AstraZeneca,Ministry of Health,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
