,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
18790,Tunisia,TUN,2021-03-12,0,0,0,,0,0.0,0.0,0.0,0.0,"Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://www.facebook.com/santetunisie.rns.tn/posts/4163575050348234
18791,Tunisia,TUN,2021-03-13,743,743,0,743.0,743,0.01,0.01,0.0,63.0,"Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://www.facebook.com/santetunisie.rns.tn/posts/4163575050348234
18792,Tunisia,TUN,2021-03-14,2076,2076,0,1333.0,1038,0.02,0.02,0.0,88.0,"Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://www.facebook.com/santetunisie.rns.tn/posts/4163575050348234
18793,Tunisia,TUN,2021-03-15,2555,2555,0,479.0,852,0.02,0.02,0.0,72.0,"Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://www.facebook.com/santetunisie.rns.tn/posts/4163575050348234
18794,Tunisia,TUN,2021-03-16,3631,3631,0,,908,0.03082988602112174,0.03082988602112174,0.0,77.0,"Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://www.facebook.com/santetunisie.rns.tn/posts/4163575050348234
18795,Tunisia,TUN,2021-03-17,4708,4708,0,,942,0.039974415694695994,0.039974415694695994,0.0,80.0,"Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://www.facebook.com/santetunisie.rns.tn/posts/4163575050348234
18796,Tunisia,TUN,2021-03-18,5784,5784,0,,964,0.049110454625769254,0.049110454625769254,0.0,82.0,"Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://www.facebook.com/santetunisie.rns.tn/posts/4163575050348234
18797,Tunisia,TUN,2021-03-19,6861,6861,0,,980,0.06,0.06,0.0,83.0,"Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://www.facebook.com/santetunisie.rns.tn/posts/4163575050348234
18798,Tunisia,TUN,2021-03-20,9678,9678,0,,1276,0.08217340592465332,0.08217340592465332,0.0,108.0,"Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://www.facebook.com/santetunisie.rns.tn/posts/4163575050348234
18799,Tunisia,TUN,2021-03-21,12496,12496,0,,1489,0.11,0.11,0.0,126.0,"Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://www.facebook.com/santetunisie.rns.tn/posts/4163575050348234
18800,Tunisia,TUN,2021-03-22,18020,18020,0,5524.0,2209,0.15,0.15,0.0,187.0,"Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://www.facebook.com/santetunisie.rns.tn/posts/4163575050348234
