,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
18864,Turkey,TUR,2021-01-13,0,0,0,,0,0.0,0.0,0.0,0.0,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
18865,Turkey,TUR,2021-01-14,279452,102260,177191,279452.0,279452,0.33,0.12124709358527941,0.21009088362477257,3313.0,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
18866,Turkey,TUR,2021-01-15,616652,204521,412130,337200.0,308326,0.73,0.24249537284524672,0.4886521091267475,3656.0,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
18867,Turkey,TUR,2021-01-16,676903,306782,370120,60251.0,225634,0.8,0.36374365210521403,0.4388419154878116,2675.0,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
18868,Turkey,TUR,2021-01-17,706451,409042,297408,29548.0,176613,0.84,0.48499074569049344,0.3526291375807821,2094.0,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
18869,Turkey,TUR,2021-01-18,832412,511303,321108,125961.0,166482,0.99,0.6062390249504607,0.380729627684157,1974.0,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
18870,Turkey,TUR,2021-01-19,950635,613564,337070,118223.0,158439,1.13,0.7274873042104281,0.3996553670525145,1879.0,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
18871,Turkey,TUR,2021-01-20,1052493,715825,336667,101858.0,150356,1.25,0.8487355834703953,0.39917754015328827,1783.0,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
18872,Turkey,TUR,2021-01-21,1120258,818085,302172,67765.0,120115,1.33,0.9699826770556746,0.35827769179396685,1424.0,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
18873,Turkey,TUR,2021-01-22,1202212,920346,281865,81954.0,83651,1.43,1.0912309563156422,0.33420019590665734,992.0,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
18874,Turkey,TUR,2021-01-23,1226883,1022607,204275,24671.0,78569,1.45,1.2124792355756093,0.2422036968720218,932.0,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
18875,Turkey,TUR,2021-01-24,1244653,1124868,119784,17770.0,76886,1.48,1.3337275148355765,0.14202485681614618,912.0,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
18876,Turkey,TUR,2021-01-25,1302753,1227128,75624,58100.0,67192,1.54,1.4549746084208561,0.0896654625982121,797.0,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
18877,Turkey,TUR,2021-01-26,1410273,1329389,80883,107520.0,65663,1.67,1.5762228876808233,0.09590092578191037,779.0,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
18878,Turkey,TUR,2021-01-27,1522580,1431650,90929,112307.0,67155,1.81,1.6974711669407907,0.10781221369661521,796.0,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
18879,Turkey,TUR,2021-01-28,1697575,1533911,163664,174995.0,82474,2.01,1.818719446200758,0.19405226212146653,978.0,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
18880,Turkey,TUR,2021-01-29,1928351,1636171,292179,230776.0,103734,2.29,1.9399665397860373,0.346429244637721,1230.0,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
18881,Turkey,TUR,2021-01-30,1960860,1738432,222427,32509.0,104854,2.32,2.061214819046005,0.2637260638068936,1243.0,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
18882,Turkey,TUR,2021-01-31,1986237,1840693,145543,25377.0,105941,2.36,2.182463098305972,0.17256665110191982,1256.0,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
18883,Turkey,TUR,2021-02-01,2136299,1942953,193345,150062.0,119078,2.53,2.3037101918912515,0.22924427253320795,1412.0,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
18884,Turkey,TUR,2021-02-02,2229233,2045214,184018,92934.0,116994,2.64,2.4249584711512187,0.21818548471910765,1387.0,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
18885,Turkey,TUR,2021-02-03,2343280,2147475,195804,114047.0,117243,2.78,2.5462067504111863,0.2321598465907691,1390.0,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
18886,Turkey,TUR,2021-02-04,2500806,2249736,251069,157526.0,114747,2.97,2.667455029671153,0.29768615821790056,1361.0,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
18887,Turkey,TUR,2021-02-05,2559802,2351996,207805,58996.0,90207,3.04,2.788702123256433,0.24638912852033037,1070.0,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
18888,Turkey,TUR,2021-02-06,2601717,2454257,147459,41915.0,91551,3.08,2.9099504025164,0.17483840380394794,1086.0,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
18889,Turkey,TUR,2021-02-07,2610496,2556518,53977,8779.0,89180,3.1,3.0311986817763676,0.06399916262910842,1057.0,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
18890,Turkey,TUR,2021-02-08,2664203,2658779,5423,53707.0,75415,3.16,3.152446961036335,0.006429913832514866,894.0,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
18891,Turkey,TUR,2021-02-09,2761039,2761039,0,68506.0,71925,3.24,3.2736940546216142,0.0,853.0,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
