,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
18998,Turks and Caicos Islands,TCA,2021-01-10,0,0,0,,0,0.0,0.0,0.0,0.0,Pfizer/BioNTech,Ministry of Health,https://www.facebook.com/tcihealthpromotions/photos/1974299556073324
18999,Turks and Caicos Islands,TCA,2021-01-11,311,221,89,,312,0.8036175710594315,0.5710594315245479,0.22997416020671835,8058.0,Pfizer/BioNTech,Ministry of Health,https://www.facebook.com/tcihealthpromotions/photos/1974299556073324
19000,Turks and Caicos Islands,TCA,2021-01-12,623,443,179,,312,1.6098191214470283,1.144702842377261,0.4625322997416021,8058.0,Pfizer/BioNTech,Ministry of Health,https://www.facebook.com/tcihealthpromotions/photos/1974299556073324
19001,Turks and Caicos Islands,TCA,2021-01-13,934,665,268,,312,2.41343669250646,1.7183462532299743,0.6925064599483204,8058.0,Pfizer/BioNTech,Ministry of Health,https://www.facebook.com/tcihealthpromotions/photos/1974299556073324
19002,Turks and Caicos Islands,TCA,2021-01-14,1246,887,358,,312,3.2196382428940566,2.291989664082687,0.9250645994832042,8058.0,Pfizer/BioNTech,Ministry of Health,https://www.facebook.com/tcihealthpromotions/photos/1974299556073324
19003,Turks and Caicos Islands,TCA,2021-01-15,1557,1109,447,,312,4.023255813953488,2.865633074935401,1.1550387596899225,8058.0,Pfizer/BioNTech,Ministry of Health,https://www.facebook.com/tcihealthpromotions/photos/1974299556073324
19004,Turks and Caicos Islands,TCA,2021-01-16,1869,1330,538,,312,4.829457364341085,3.4366925064599485,1.3901808785529717,8058.0,Pfizer/BioNTech,Ministry of Health,https://www.facebook.com/tcihealthpromotions/photos/1974299556073324
19005,Turks and Caicos Islands,TCA,2021-01-17,2180,1552,627,,312,5.633074935400517,4.010335917312662,1.6201550387596897,8058.0,Pfizer/BioNTech,Ministry of Health,https://www.facebook.com/tcihealthpromotions/photos/1974299556073324
19006,Turks and Caicos Islands,TCA,2021-01-18,2492,1774,717,,312,6.439276485788113,4.583979328165374,1.8527131782945734,8058.0,Pfizer/BioNTech,Ministry of Health,https://www.facebook.com/tcihealthpromotions/photos/1974299556073324
19007,Turks and Caicos Islands,TCA,2021-01-19,2803,1996,806,,312,7.242894056847546,5.1576227390180875,2.082687338501292,8058.0,Pfizer/BioNTech,Ministry of Health,https://www.facebook.com/tcihealthpromotions/photos/1974299556073324
19008,Turks and Caicos Islands,TCA,2021-01-20,3115,2218,896,,312,8.049095607235142,5.731266149870802,2.3152454780361755,8058.0,Pfizer/BioNTech,Ministry of Health,https://www.facebook.com/tcihealthpromotions/photos/1974299556073324
19009,Turks and Caicos Islands,TCA,2021-01-21,3426,2440,985,,312,8.852713178294573,6.304909560723513,2.545219638242894,8058.0,Pfizer/BioNTech,Ministry of Health,https://www.facebook.com/tcihealthpromotions/photos/1974299556073324
19010,Turks and Caicos Islands,TCA,2021-01-22,3738,2661,1076,,312,9.65891472868217,6.875968992248062,2.7803617571059434,8058.0,Pfizer/BioNTech,Ministry of Health,https://www.facebook.com/tcihealthpromotions/photos/1974299556073324
19011,Turks and Caicos Islands,TCA,2021-01-23,4050,2883,1166,,312,10.465116279069768,7.449612403100775,3.012919896640827,8058.0,Pfizer/BioNTech,Ministry of Health,https://www.facebook.com/tcihealthpromotions/photos/1974299556073324
19012,Turks and Caicos Islands,TCA,2021-01-24,4361,3105,1255,,312,11.2687338501292,8.023255813953488,3.242894056847545,8058.0,Pfizer/BioNTech,Ministry of Health,https://www.facebook.com/tcihealthpromotions/photos/1974299556073324
19013,Turks and Caicos Islands,TCA,2021-01-25,4673,3327,1345,,312,12.074935400516795,8.5968992248062,3.4754521963824287,8058.0,Pfizer/BioNTech,Ministry of Health,https://www.facebook.com/tcihealthpromotions/photos/1974299556073324
19014,Turks and Caicos Islands,TCA,2021-01-26,4984,3549,1434,,312,12.878552971576227,9.170542635658915,3.7054263565891468,8058.0,Pfizer/BioNTech,Ministry of Health,https://www.facebook.com/tcihealthpromotions/photos/1974299556073324
19015,Turks and Caicos Islands,TCA,2021-01-27,5296,3771,1524,,312,13.684754521963823,9.74418604651163,3.937984496124031,8058.0,Pfizer/BioNTech,Ministry of Health,https://www.facebook.com/tcihealthpromotions/photos/1974299556073324
19016,Turks and Caicos Islands,TCA,2021-01-28,5607,3992,1614,,312,14.488372093023255,10.315245478036175,4.170542635658914,8058.0,Pfizer/BioNTech,Ministry of Health,https://www.facebook.com/tcihealthpromotions/photos/1974299556073324
19017,Turks and Caicos Islands,TCA,2021-01-29,5919,4214,1704,,312,15.294573643410853,10.888888888888888,4.403100775193798,8058.0,Pfizer/BioNTech,Ministry of Health,https://www.facebook.com/tcihealthpromotions/photos/1974299556073324
19018,Turks and Caicos Islands,TCA,2021-01-30,6230,4436,1793,,312,16.098191214470283,11.462532299741603,4.633074935400517,8058.0,Pfizer/BioNTech,Ministry of Health,https://www.facebook.com/tcihealthpromotions/photos/1974299556073324
19019,Turks and Caicos Islands,TCA,2021-01-31,6542,4658,1883,,312,16.90439276485788,12.036175710594316,4.865633074935401,8058.0,Pfizer/BioNTech,Ministry of Health,https://www.facebook.com/tcihealthpromotions/photos/1974299556073324
19020,Turks and Caicos Islands,TCA,2021-02-01,6853,4880,1972,,312,17.70801033591731,12.609819121447027,5.095607235142118,8058.0,Pfizer/BioNTech,Ministry of Health,https://www.facebook.com/tcihealthpromotions/photos/1974299556073324
19021,Turks and Caicos Islands,TCA,2021-02-02,7165,5102,2062,,312,18.51421188630491,13.183462532299743,5.328165374677003,8058.0,Pfizer/BioNTech,Ministry of Health,https://www.facebook.com/tcihealthpromotions/photos/1974299556073324
19022,Turks and Caicos Islands,TCA,2021-02-03,7476,5323,2152,,312,19.31782945736434,13.75452196382429,5.560723514211887,8058.0,Pfizer/BioNTech,Ministry of Health,https://www.facebook.com/tcihealthpromotions/photos/1974299556073324
