,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
19126,Uganda,UGA,2021-03-09,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/MinofHealthUG/status/1397476411556966404
19127,Uganda,UGA,2021-03-10,338,338,0,,338,0.000810928825400786,0.000810928825400786,0.0,7.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/MinofHealthUG/status/1397476411556966404
19128,Uganda,UGA,2021-03-11,676,676,0,,338,0.001621857650801572,0.001621857650801572,0.0,7.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/MinofHealthUG/status/1397476411556966404
19129,Uganda,UGA,2021-03-12,1015,1015,0,,338,0.0,0.0,0.0,7.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/MinofHealthUG/status/1397476411556966404
19130,Uganda,UGA,2021-03-13,1215,1215,0,200.0,304,0.0,0.0,0.0,7.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/MinofHealthUG/status/1397476411556966404
19131,Uganda,UGA,2021-03-14,1215,1215,0,0.0,243,0.0,0.0,0.0,5.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/MinofHealthUG/status/1397476411556966404
19132,Uganda,UGA,2021-03-15,2841,2841,0,1626.0,474,0.01,0.01,0.0,10.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/MinofHealthUG/status/1397476411556966404
19133,Uganda,UGA,2021-03-16,4684,4684,0,1843.0,669,0.01,0.01,0.0,15.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/MinofHealthUG/status/1397476411556966404
19134,Uganda,UGA,2021-03-17,7920,7920,0,3236.0,1083,0.02,0.02,0.0,24.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/MinofHealthUG/status/1397476411556966404
19135,Uganda,UGA,2021-03-18,13027,13027,0,5107.0,1764,0.03,0.03,0.0,39.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/MinofHealthUG/status/1397476411556966404
19136,Uganda,UGA,2021-03-19,17543,17543,0,4516.0,2361,0.04,0.04,0.0,52.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/MinofHealthUG/status/1397476411556966404
19137,Uganda,UGA,2021-03-20,19008,19008,0,1465.0,2542,0.04,0.04,0.0,56.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/MinofHealthUG/status/1397476411556966404
19138,Uganda,UGA,2021-03-21,23527,23527,0,4519.0,3187,0.05,0.05,0.0,70.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/MinofHealthUG/status/1397476411556966404
19139,Uganda,UGA,2021-03-22,25860,25860,0,2333.0,3288,0.06,0.06,0.0,72.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/MinofHealthUG/status/1397476411556966404
19140,Uganda,UGA,2021-03-23,32526,32526,0,6666.0,3977,0.07,0.07,0.0,87.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/MinofHealthUG/status/1397476411556966404
19141,Uganda,UGA,2021-03-24,46444,46444,0,13918.0,5503,0.1,0.1,0.0,120.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/MinofHealthUG/status/1397476411556966404
19142,Uganda,UGA,2021-03-25,46664,46664,0,220.0,4805,0.1,0.1,0.0,105.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/MinofHealthUG/status/1397476411556966404
