,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
19203,Ukraine,UKR,2021-02-24,159,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://vaccination.covid19.gov.ua/
19204,Ukraine,UKR,2021-02-25,1338,1338,0,1179.0,1179,0.0,0.0,0.0,27.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://vaccination.covid19.gov.ua/
19205,Ukraine,UKR,2021-02-26,3051,3051,0,1713.0,1446,0.01,0.01,0.0,33.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://vaccination.covid19.gov.ua/
19206,Ukraine,UKR,2021-02-27,3141,3141,0,90.0,994,0.01,0.01,0.0,23.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://vaccination.covid19.gov.ua/
19207,Ukraine,UKR,2021-02-28,4023,4023,0,,966,0.009275149060613918,0.009275149060613918,0.0,22.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://vaccination.covid19.gov.ua/
19208,Ukraine,UKR,2021-03-01,4905,4905,0,,949,0.01,0.01,0.0,22.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://vaccination.covid19.gov.ua/
19209,Ukraine,UKR,2021-03-02,6888,6888,0,1983.0,1122,0.02,0.02,0.0,26.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://vaccination.covid19.gov.ua/
19210,Ukraine,UKR,2021-03-03,9568,9568,0,2680.0,1344,0.02,0.02,0.0,31.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://vaccination.covid19.gov.ua/
19211,Ukraine,UKR,2021-03-04,12481,12481,0,2913.0,1592,0.03,0.03,0.0,36.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://vaccination.covid19.gov.ua/
19212,Ukraine,UKR,2021-03-05,15758,15758,0,3277.0,1815,0.04,0.04,0.0,42.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://vaccination.covid19.gov.ua/
19213,Ukraine,UKR,2021-03-06,17037,17037,0,1279.0,1985,0.04,0.04,0.0,45.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://vaccination.covid19.gov.ua/
19214,Ukraine,UKR,2021-03-07,17947,17947,0,910.0,1989,0.04,0.04,0.0,45.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://vaccination.covid19.gov.ua/
19215,Ukraine,UKR,2021-03-08,19118,19118,0,1171.0,2030,0.04,0.04,0.0,46.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://vaccination.covid19.gov.ua/
19216,Ukraine,UKR,2021-03-09,23480,23480,0,4362.0,2370,0.05,0.05,0.0,54.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://vaccination.covid19.gov.ua/
19217,Ukraine,UKR,2021-03-10,29378,29378,0,5898.0,2830,0.07,0.07,0.0,65.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://vaccination.covid19.gov.ua/
19218,Ukraine,UKR,2021-03-11,38237,38237,0,8859.0,3679,0.09,0.09,0.0,84.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://vaccination.covid19.gov.ua/
19219,Ukraine,UKR,2021-03-12,47541,47541,0,9304.0,4540,0.11,0.11,0.0,104.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://vaccination.covid19.gov.ua/
