,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
19294,United Arab Emirates,ARE,2021-01-05,0,0,0,,0,8.35,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
19295,United Arab Emirates,ARE,2021-01-06,826301,167313,658987,0.0,0,8.35,1.691870340197263,6.663681602000883,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
19296,United Arab Emirates,ARE,2021-01-07,887697,334627,553069,61396.0,30698,8.98,3.3837507924022017,5.592637973035927,3104.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
19297,United Arab Emirates,ARE,2021-01-08,941556,501940,439615,53859.0,38418,9.52,5.075621132599465,4.445390254229019,3884.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
19298,United Arab Emirates,ARE,2021-01-09,1020349,669254,351094,78793.0,48512,10.32,6.767501584804403,3.550265222793315,4905.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
19299,United Arab Emirates,ARE,2021-01-10,1086568,836568,250000,66219.0,52053,10.99,8.46,2.53,5263.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
19300,United Arab Emirates,ARE,2021-01-11,1167251,896655,270595,80683.0,56825,11.8,9.0669822422022,2.7362587169298167,5745.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
19301,United Arab Emirates,ARE,2021-01-12,1275652,956742,318909,108401.0,64193,12.9,9.67458244739506,3.2248102557599765,6490.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
19302,United Arab Emirates,ARE,2021-01-13,1394580,1016830,377749,118928.0,81183,14.1,10.282192764595596,3.8198007873815896,8208.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
19303,United Arab Emirates,ARE,2021-01-14,1527833,1076917,450915,133253.0,91448,15.45,10.889792969788456,4.559655940961246,9246.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
19304,United Arab Emirates,ARE,2021-01-15,1665987,1137005,528981,138154.0,103490,16.84,11.497403286988991,5.349059932150451,10464.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
19305,United Arab Emirates,ARE,2021-01-16,1797926,1197092,600833,131939.0,111082,18.18,12.10500349218185,6.0756279076446065,11231.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
19306,United Arab Emirates,ARE,2021-01-17,1882778,1257180,625597,84852.0,113744,19.04,12.712613809382386,6.326041665718667,11500.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
19307,United Arab Emirates,ARE,2021-01-18,1971521,1317267,654253,88743.0,114896,19.93,13.320214014575246,6.615811357665454,11617.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
19308,United Arab Emirates,ARE,2021-01-19,2065367,1377354,688012,93846.0,112816,20.88,13.927814219768106,6.957182624779899,11407.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
19309,United Arab Emirates,ARE,2021-01-20,2161150,1437442,723707,95783.0,109510,21.85,14.535424536968641,7.318130738753956,11072.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
19310,United Arab Emirates,ARE,2021-01-21,2246069,1497529,748539,84919.0,102605,22.71,15.1430247421615,7.569232113349942,10374.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
19311,United Arab Emirates,ARE,2021-01-22,2339073,1557617,781455,93004.0,96155,23.65,15.750635059362036,7.902078957994012,9722.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
19312,United Arab Emirates,ARE,2021-01-23,2426793,1617704,809088,87720.0,89838,24.54,16.358235264554896,8.181504066088847,9083.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
19313,United Arab Emirates,ARE,2021-01-24,2487784,1677792,809991,60991.0,86429,25.15,16.96584558175543,8.19063520901975,8739.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
