,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
19735,Uruguay,URY,2021-02-27,374,0,0,,0,0.01,0.01,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://monitor.uruguaysevacuna.gub.uy/
19736,Uruguay,URY,2021-02-28,375,375,0,1.0,1,0.01,0.01,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://monitor.uruguaysevacuna.gub.uy/
19737,Uruguay,URY,2021-03-01,18395,18395,0,18020.0,9010,0.53,0.53,0.0,2594.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://monitor.uruguaysevacuna.gub.uy/
19738,Uruguay,URY,2021-03-02,33123,33123,0,14728.0,10916,0.95,0.95,0.0,3142.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://monitor.uruguaysevacuna.gub.uy/
19739,Uruguay,URY,2021-03-03,54419,54419,0,21296.0,13511,1.57,1.57,0.0,3889.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://monitor.uruguaysevacuna.gub.uy/
19740,Uruguay,URY,2021-03-04,63392,63392,0,8973.0,12604,1.82,1.82,0.0,3628.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://monitor.uruguaysevacuna.gub.uy/
19741,Uruguay,URY,2021-03-05,72585,72585,0,9193.0,12035,2.09,2.09,0.0,3465.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://monitor.uruguaysevacuna.gub.uy/
19742,Uruguay,URY,2021-03-06,72586,72586,0,1.0,10316,2.09,2.09,0.0,2970.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://monitor.uruguaysevacuna.gub.uy/
19743,Uruguay,URY,2021-03-07,72586,72586,0,0.0,10316,2.09,2.09,0.0,2970.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://monitor.uruguaysevacuna.gub.uy/
19744,Uruguay,URY,2021-03-08,100723,100723,0,28137.0,11761,2.9,2.9,0.0,3386.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://monitor.uruguaysevacuna.gub.uy/
