,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
19823,Uzbekistan,UZB,2021-03-31,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, RBD-Dimer, Sputnik V",Government of Uzbekistan,https://akipress.com/news:658590:Uzbekistan_vaccinates_over_1_642_million_against_COVID-19/
19824,Uzbekistan,UZB,2021-04-01,5833,5833,0,,5833,0.017378463153352976,0.017378463153352976,0.0,174.0,"Oxford/AstraZeneca, RBD-Dimer, Sputnik V",Government of Uzbekistan,https://akipress.com/news:658590:Uzbekistan_vaccinates_over_1_642_million_against_COVID-19/
19825,Uzbekistan,UZB,2021-04-02,11666,11666,0,,5833,0.03475692630670595,0.03475692630670595,0.0,174.0,"Oxford/AstraZeneca, RBD-Dimer, Sputnik V",Government of Uzbekistan,https://akipress.com/news:658590:Uzbekistan_vaccinates_over_1_642_million_against_COVID-19/
19826,Uzbekistan,UZB,2021-04-03,17500,17500,0,,5833,0.05213836879541866,0.05213836879541866,0.0,174.0,"Oxford/AstraZeneca, RBD-Dimer, Sputnik V",Government of Uzbekistan,https://akipress.com/news:658590:Uzbekistan_vaccinates_over_1_642_million_against_COVID-19/
19827,Uzbekistan,UZB,2021-04-04,23333,23333,0,,5833,0.06951683194877163,0.06951683194877163,0.0,174.0,"Oxford/AstraZeneca, RBD-Dimer, Sputnik V",Government of Uzbekistan,https://akipress.com/news:658590:Uzbekistan_vaccinates_over_1_642_million_against_COVID-19/
19828,Uzbekistan,UZB,2021-04-05,29166,29166,0,,5833,0.08689529510212461,0.08689529510212461,0.0,174.0,"Oxford/AstraZeneca, RBD-Dimer, Sputnik V",Government of Uzbekistan,https://akipress.com/news:658590:Uzbekistan_vaccinates_over_1_642_million_against_COVID-19/
19829,Uzbekistan,UZB,2021-04-06,35000,35000,0,,5833,0.1,0.1,0.0,174.0,"Oxford/AstraZeneca, RBD-Dimer, Sputnik V",Government of Uzbekistan,https://akipress.com/news:658590:Uzbekistan_vaccinates_over_1_642_million_against_COVID-19/
19830,Uzbekistan,UZB,2021-04-07,57728,57728,0,,8247,0.17199107164696736,0.17199107164696736,0.0,246.0,"Oxford/AstraZeneca, RBD-Dimer, Sputnik V",Government of Uzbekistan,https://akipress.com/news:658590:Uzbekistan_vaccinates_over_1_642_million_against_COVID-19/
19831,Uzbekistan,UZB,2021-04-08,80456,80456,0,,10660,0.23970540570309737,0.23970540570309737,0.0,319.0,"Oxford/AstraZeneca, RBD-Dimer, Sputnik V",Government of Uzbekistan,https://akipress.com/news:658590:Uzbekistan_vaccinates_over_1_642_million_against_COVID-19/
19832,Uzbekistan,UZB,2021-04-09,103185,103185,0,,13074,0.3074227190945871,0.3074227190945871,0.0,391.0,"Oxford/AstraZeneca, RBD-Dimer, Sputnik V",Government of Uzbekistan,https://akipress.com/news:658590:Uzbekistan_vaccinates_over_1_642_million_against_COVID-19/
19833,Uzbekistan,UZB,2021-04-10,125913,125913,0,,15488,0.37513705315071716,0.37513705315071716,0.0,463.0,"Oxford/AstraZeneca, RBD-Dimer, Sputnik V",Government of Uzbekistan,https://akipress.com/news:658590:Uzbekistan_vaccinates_over_1_642_million_against_COVID-19/
19834,Uzbekistan,UZB,2021-04-11,148642,148642,0,,17901,0.44,0.44,0.0,535.0,"Oxford/AstraZeneca, RBD-Dimer, Sputnik V",Government of Uzbekistan,https://akipress.com/news:658590:Uzbekistan_vaccinates_over_1_642_million_against_COVID-19/
19835,Uzbekistan,UZB,2021-04-12,184747,184747,0,,22226,0.550423269705555,0.550423269705555,0.0,664.0,"Oxford/AstraZeneca, RBD-Dimer, Sputnik V",Government of Uzbekistan,https://akipress.com/news:658590:Uzbekistan_vaccinates_over_1_642_million_against_COVID-19/
19836,Uzbekistan,UZB,2021-04-13,220852,220852,0,,26550,0.657992172868903,0.657992172868903,0.0,793.0,"Oxford/AstraZeneca, RBD-Dimer, Sputnik V",Government of Uzbekistan,https://akipress.com/news:658590:Uzbekistan_vaccinates_over_1_642_million_against_COVID-19/
19837,Uzbekistan,UZB,2021-04-14,256958,256958,0,,28461,0.77,0.77,0.0,850.0,"Oxford/AstraZeneca, RBD-Dimer, Sputnik V",Government of Uzbekistan,https://akipress.com/news:658590:Uzbekistan_vaccinates_over_1_642_million_against_COVID-19/
