,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
19879,Venezuela,VEN,2021-02-17,0,0,0,,0,0.0,0.0,0.0,0.0,Sputnik V,Government of Venezuela,https://curadas.com/2021/05/19/ops-en-venezuela-solo-se-han-aplicado-316-000-dosis-de-vacunas-contra-el-coronavirus/
19880,Venezuela,VEN,2021-02-18,31,31,0,,31,0.00010716853808285856,0.00010716853808285856,0.0,1.0,Sputnik V,Government of Venezuela,https://curadas.com/2021/05/19/ops-en-venezuela-solo-se-han-aplicado-316-000-dosis-de-vacunas-contra-el-coronavirus/
19881,Venezuela,VEN,2021-02-19,62,62,0,,31,0.00021433707616571712,0.00021433707616571712,0.0,1.0,Sputnik V,Government of Venezuela,https://curadas.com/2021/05/19/ops-en-venezuela-solo-se-han-aplicado-316-000-dosis-de-vacunas-contra-el-coronavirus/
19882,Venezuela,VEN,2021-02-20,94,94,0,,31,0.0003249626638641518,0.0003249626638641518,0.0,1.0,Sputnik V,Government of Venezuela,https://curadas.com/2021/05/19/ops-en-venezuela-solo-se-han-aplicado-316-000-dosis-de-vacunas-contra-el-coronavirus/
19883,Venezuela,VEN,2021-02-21,125,125,0,,31,0.0004321312019470103,0.0004321312019470103,0.0,1.0,Sputnik V,Government of Venezuela,https://curadas.com/2021/05/19/ops-en-venezuela-solo-se-han-aplicado-316-000-dosis-de-vacunas-contra-el-coronavirus/
19884,Venezuela,VEN,2021-02-22,157,157,0,,31,0.0,0.0,0.0,1.0,Sputnik V,Government of Venezuela,https://curadas.com/2021/05/19/ops-en-venezuela-solo-se-han-aplicado-316-000-dosis-de-vacunas-contra-el-coronavirus/
19885,Venezuela,VEN,2021-02-23,1360,1360,0,,227,0.0047015874771834726,0.0047015874771834726,0.0,8.0,Sputnik V,Government of Venezuela,https://curadas.com/2021/05/19/ops-en-venezuela-solo-se-han-aplicado-316-000-dosis-de-vacunas-contra-el-coronavirus/
19886,Venezuela,VEN,2021-02-24,2564,2564,0,,366,0.008863875214337076,0.008863875214337076,0.0,13.0,Sputnik V,Government of Venezuela,https://curadas.com/2021/05/19/ops-en-venezuela-solo-se-han-aplicado-316-000-dosis-de-vacunas-contra-el-coronavirus/
19887,Venezuela,VEN,2021-02-25,3768,3768,0,,534,0.013026162951490679,0.013026162951490679,0.0,19.0,Sputnik V,Government of Venezuela,https://curadas.com/2021/05/19/ops-en-venezuela-solo-se-han-aplicado-316-000-dosis-de-vacunas-contra-el-coronavirus/
19888,Venezuela,VEN,2021-02-26,4971,4971,0,,701,0.017184993639028708,0.017184993639028708,0.0,25.0,Sputnik V,Government of Venezuela,https://curadas.com/2021/05/19/ops-en-venezuela-solo-se-han-aplicado-316-000-dosis-de-vacunas-contra-el-coronavirus/
