,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
19971,Vietnam,VNM,2021-03-07,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,Government of Vietnam,https://ncov.moh.gov.vn/en/web/guest/-/6847426-3679
19972,Vietnam,VNM,2021-03-08,377,377,0,377.0,377,0.0,0.0,0.0,4.0,Oxford/AstraZeneca,Government of Vietnam,https://ncov.moh.gov.vn/en/web/guest/-/6847426-3679
19973,Vietnam,VNM,2021-03-09,522,522,0,145.0,261,0.0,0.0,0.0,3.0,Oxford/AstraZeneca,Government of Vietnam,https://ncov.moh.gov.vn/en/web/guest/-/6847426-3679
19974,Vietnam,VNM,2021-03-10,955,955,0,433.0,318,0.0,0.0,0.0,3.0,Oxford/AstraZeneca,Government of Vietnam,https://ncov.moh.gov.vn/en/web/guest/-/6847426-3679
19975,Vietnam,VNM,2021-03-11,1585,1585,0,630.0,396,0.0,0.0,0.0,4.0,Oxford/AstraZeneca,Government of Vietnam,https://ncov.moh.gov.vn/en/web/guest/-/6847426-3679
19976,Vietnam,VNM,2021-03-12,5248,5248,0,3663.0,1050,0.01,0.01,0.0,11.0,Oxford/AstraZeneca,Government of Vietnam,https://ncov.moh.gov.vn/en/web/guest/-/6847426-3679
19977,Vietnam,VNM,2021-03-13,10041,10041,0,4793.0,1674,0.01,0.01,0.0,17.0,Oxford/AstraZeneca,Government of Vietnam,https://ncov.moh.gov.vn/en/web/guest/-/6847426-3679
19978,Vietnam,VNM,2021-03-14,11605,11605,0,1564.0,1658,0.01,0.01,0.0,17.0,Oxford/AstraZeneca,Government of Vietnam,https://ncov.moh.gov.vn/en/web/guest/-/6847426-3679
19979,Vietnam,VNM,2021-03-15,15865,15865,0,4260.0,2213,0.02,0.02,0.0,23.0,Oxford/AstraZeneca,Government of Vietnam,https://ncov.moh.gov.vn/en/web/guest/-/6847426-3679
19980,Vietnam,VNM,2021-03-16,20695,20695,0,4830.0,2882,0.02,0.02,0.0,30.0,Oxford/AstraZeneca,Government of Vietnam,https://ncov.moh.gov.vn/en/web/guest/-/6847426-3679
19981,Vietnam,VNM,2021-03-17,24054,24054,0,3359.0,3300,0.02,0.02,0.0,34.0,Oxford/AstraZeneca,Government of Vietnam,https://ncov.moh.gov.vn/en/web/guest/-/6847426-3679
19982,Vietnam,VNM,2021-03-18,27546,27546,0,3492.0,3709,0.03,0.03,0.0,38.0,Oxford/AstraZeneca,Government of Vietnam,https://ncov.moh.gov.vn/en/web/guest/-/6847426-3679
19983,Vietnam,VNM,2021-03-19,30971,30971,0,3425.0,3675,0.03,0.03,0.0,38.0,Oxford/AstraZeneca,Government of Vietnam,https://ncov.moh.gov.vn/en/web/guest/-/6847426-3679
19984,Vietnam,VNM,2021-03-20,32361,32361,0,1390.0,3189,0.03,0.03,0.0,33.0,Oxford/AstraZeneca,Government of Vietnam,https://ncov.moh.gov.vn/en/web/guest/-/6847426-3679
19985,Vietnam,VNM,2021-03-21,33891,33891,0,1530.0,3184,0.03,0.03,0.0,33.0,Oxford/AstraZeneca,Government of Vietnam,https://ncov.moh.gov.vn/en/web/guest/-/6847426-3679
19986,Vietnam,VNM,2021-03-22,36082,36082,0,2191.0,2888,0.04,0.04,0.0,30.0,Oxford/AstraZeneca,Government of Vietnam,https://ncov.moh.gov.vn/en/web/guest/-/6847426-3679
19987,Vietnam,VNM,2021-03-23,37911,37911,0,1829.0,2459,0.04,0.04,0.0,25.0,Oxford/AstraZeneca,Government of Vietnam,https://ncov.moh.gov.vn/en/web/guest/-/6847426-3679
19988,Vietnam,VNM,2021-03-24,39817,39817,0,1906.0,2252,0.04,0.04,0.0,23.0,Oxford/AstraZeneca,Government of Vietnam,https://ncov.moh.gov.vn/en/web/guest/-/6847426-3679
19989,Vietnam,VNM,2021-03-25,42225,42225,0,2408.0,2097,0.04,0.04,0.0,22.0,Oxford/AstraZeneca,Government of Vietnam,https://ncov.moh.gov.vn/en/web/guest/-/6847426-3679
19990,Vietnam,VNM,2021-03-26,44000,44000,0,1775.0,1861,0.05,0.05,0.0,19.0,Oxford/AstraZeneca,Government of Vietnam,https://ncov.moh.gov.vn/en/web/guest/-/6847426-3679
19991,Vietnam,VNM,2021-03-27,44278,44278,0,278.0,1702,0.05,0.05,0.0,17.0,Oxford/AstraZeneca,Government of Vietnam,https://ncov.moh.gov.vn/en/web/guest/-/6847426-3679
19992,Vietnam,VNM,2021-03-28,45140,45140,0,862.0,1607,0.05,0.05,0.0,17.0,Oxford/AstraZeneca,Government of Vietnam,https://ncov.moh.gov.vn/en/web/guest/-/6847426-3679
19993,Vietnam,VNM,2021-03-29,46416,46416,0,1276.0,1476,0.05,0.05,0.0,15.0,Oxford/AstraZeneca,Government of Vietnam,https://ncov.moh.gov.vn/en/web/guest/-/6847426-3679
19994,Vietnam,VNM,2021-03-30,48256,48256,0,1840.0,1478,0.05,0.05,0.0,15.0,Oxford/AstraZeneca,Government of Vietnam,https://ncov.moh.gov.vn/en/web/guest/-/6847426-3679
