,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
20187,Wallis and Futuna,WLF,2021-03-23,1286,0,0,,0,11.44,11.44,0.0,0.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
20188,Wallis and Futuna,WLF,2021-03-24,1558,1558,0,,272,13.910714285714285,13.910714285714285,0.0,24186.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
20189,Wallis and Futuna,WLF,2021-03-25,1830,1830,0,,272,16.339285714285715,16.339285714285715,0.0,24186.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
20190,Wallis and Futuna,WLF,2021-03-26,2102,2102,0,,272,18.767857142857142,18.767857142857142,0.0,24186.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
20191,Wallis and Futuna,WLF,2021-03-27,2374,2374,0,,272,21.196428571428573,21.196428571428573,0.0,24186.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
20192,Wallis and Futuna,WLF,2021-03-28,2646,2646,0,,272,23.625,23.625,0.0,24186.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
20193,Wallis and Futuna,WLF,2021-03-29,2918,2918,0,,272,26.053571428571427,26.053571428571427,0.0,24186.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
20194,Wallis and Futuna,WLF,2021-03-30,3190,3190,0,,272,28.37,28.37,0.0,24186.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
20195,Wallis and Futuna,WLF,2021-03-31,3277,3277,0,,246,29.258928571428573,29.258928571428573,0.0,21874.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
20196,Wallis and Futuna,WLF,2021-04-01,3365,3365,0,,219,30.044642857142854,30.044642857142854,0.0,19474.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
