,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
20252,Zambia,ZMB,2021-04-14,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,Government of Zambia,https://www.facebook.com/mohzambia/photos/a.773733439467982/1917188705122444/
20253,Zambia,ZMB,2021-04-15,106,106,0,106.0,106,0.0,0.0,0.0,6.0,Oxford/AstraZeneca,Government of Zambia,https://www.facebook.com/mohzambia/photos/a.773733439467982/1917188705122444/
20254,Zambia,ZMB,2021-04-16,509,509,0,,255,0.0029450338080045093,0.0029450338080045093,0.0,14.0,Oxford/AstraZeneca,Government of Zambia,https://www.facebook.com/mohzambia/photos/a.773733439467982/1917188705122444/
20255,Zambia,ZMB,2021-04-17,912,912,0,,304,0.005276759986051301,0.005276759986051301,0.0,17.0,Oxford/AstraZeneca,Government of Zambia,https://www.facebook.com/mohzambia/photos/a.773733439467982/1917188705122444/
20256,Zambia,ZMB,2021-04-18,1316,1316,0,,329,0.01,0.01,0.0,18.0,Oxford/AstraZeneca,Government of Zambia,https://www.facebook.com/mohzambia/photos/a.773733439467982/1917188705122444/
20257,Zambia,ZMB,2021-04-19,2114,2114,0,798.0,423,0.01,0.01,0.0,23.0,Oxford/AstraZeneca,Government of Zambia,https://www.facebook.com/mohzambia/photos/a.773733439467982/1917188705122444/
20258,Zambia,ZMB,2021-04-20,3391,3391,0,1277.0,565,0.02,0.02,0.0,31.0,Oxford/AstraZeneca,Government of Zambia,https://www.facebook.com/mohzambia/photos/a.773733439467982/1917188705122444/
20259,Zambia,ZMB,2021-04-21,9006,9006,0,5615.0,1287,0.05,0.05,0.0,70.0,Oxford/AstraZeneca,Government of Zambia,https://www.facebook.com/mohzambia/photos/a.773733439467982/1917188705122444/
20260,Zambia,ZMB,2021-04-22,12543,12543,0,3537.0,1777,0.07,0.07,0.0,97.0,Oxford/AstraZeneca,Government of Zambia,https://www.facebook.com/mohzambia/photos/a.773733439467982/1917188705122444/
20261,Zambia,ZMB,2021-04-23,13032,13032,0,,1789,0.07540212295857518,0.07540212295857518,0.0,97.0,Oxford/AstraZeneca,Government of Zambia,https://www.facebook.com/mohzambia/photos/a.773733439467982/1917188705122444/
20262,Zambia,ZMB,2021-04-24,13522,13522,0,,1801,0.07823722426687028,0.07823722426687028,0.0,98.0,Oxford/AstraZeneca,Government of Zambia,https://www.facebook.com/mohzambia/photos/a.773733439467982/1917188705122444/
20263,Zambia,ZMB,2021-04-25,14012,14012,0,,1814,0.08,0.08,0.0,99.0,Oxford/AstraZeneca,Government of Zambia,https://www.facebook.com/mohzambia/photos/a.773733439467982/1917188705122444/
20264,Zambia,ZMB,2021-04-26,16647,16647,0,,2076,0.09631822750854827,0.09631822750854827,0.0,113.0,Oxford/AstraZeneca,Government of Zambia,https://www.facebook.com/mohzambia/photos/a.773733439467982/1917188705122444/
20265,Zambia,ZMB,2021-04-27,19283,19283,0,,2270,0.11156991536296847,0.11156991536296847,0.0,123.0,Oxford/AstraZeneca,Government of Zambia,https://www.facebook.com/mohzambia/photos/a.773733439467982/1917188705122444/
20266,Zambia,ZMB,2021-04-28,21919,21919,0,,1845,0.12,0.12,0.0,100.0,Oxford/AstraZeneca,Government of Zambia,https://www.facebook.com/mohzambia/photos/a.773733439467982/1917188705122444/
