,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
20294,Zimbabwe,ZWE,2021-02-18,0,0,0,,0,0.0,0.0,0.0,0.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20295,Zimbabwe,ZWE,2021-02-19,328,328,0,,328,0.0022129665943921672,0.0022129665943921672,0.0,22.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20296,Zimbabwe,ZWE,2021-02-20,657,657,0,,328,0.004432680038157481,0.004432680038157481,0.0,22.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20297,Zimbabwe,ZWE,2021-02-21,985,985,0,,328,0.006645646632549649,0.006645646632549649,0.0,22.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20298,Zimbabwe,ZWE,2021-02-22,1314,1314,0,,328,0.01,0.01,0.0,22.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20299,Zimbabwe,ZWE,2021-02-23,4041,4041,0,2727.0,808,0.03,0.03,0.0,54.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20300,Zimbabwe,ZWE,2021-02-24,7872,7872,0,3831.0,1312,0.05,0.05,0.0,88.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20301,Zimbabwe,ZWE,2021-02-25,11007,11007,0,3135.0,1572,0.07,0.07,0.0,106.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20302,Zimbabwe,ZWE,2021-02-26,12579,12579,0,1572.0,1750,0.08,0.08,0.0,118.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20303,Zimbabwe,ZWE,2021-02-27,15705,15705,0,3126.0,2150,0.11,0.11,0.0,145.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20304,Zimbabwe,ZWE,2021-02-28,18843,18843,0,3138.0,2551,0.13,0.13,0.0,172.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20305,Zimbabwe,ZWE,2021-03-01,21456,21456,0,2613.0,2877,0.14,0.14,0.0,194.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20306,Zimbabwe,ZWE,2021-03-02,25077,25077,0,3621.0,3005,0.17,0.17,0.0,202.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20307,Zimbabwe,ZWE,2021-03-03,27970,27970,0,2893.0,2871,0.19,0.19,0.0,193.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20308,Zimbabwe,ZWE,2021-03-04,30658,30658,0,2688.0,2807,0.21,0.21,0.0,189.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20309,Zimbabwe,ZWE,2021-03-05,31325,31325,0,667.0,2678,0.21,0.21,0.0,180.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20310,Zimbabwe,ZWE,2021-03-06,32014,32014,0,689.0,2330,0.22,0.22,0.0,157.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20311,Zimbabwe,ZWE,2021-03-07,32240,32240,0,226.0,1914,0.22,0.22,0.0,129.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20312,Zimbabwe,ZWE,2021-03-08,35518,35518,0,3278.0,2009,0.24,0.24,0.0,135.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20313,Zimbabwe,ZWE,2021-03-09,35761,35761,0,243.0,1526,0.24,0.24,0.0,103.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20314,Zimbabwe,ZWE,2021-03-10,35901,35901,0,140.0,1133,0.24,0.24,0.0,76.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20315,Zimbabwe,ZWE,2021-03-11,36019,36019,0,118.0,766,0.24,0.24,0.0,52.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20316,Zimbabwe,ZWE,2021-03-12,36283,36283,0,264.0,708,0.24,0.24,0.0,48.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20317,Zimbabwe,ZWE,2021-03-13,36359,36359,0,76.0,621,0.24,0.24,0.0,42.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20318,Zimbabwe,ZWE,2021-03-14,36359,36359,0,0.0,588,0.24,0.24,0.0,40.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20319,Zimbabwe,ZWE,2021-03-15,37660,37660,0,1301.0,306,0.25,0.25,0.0,21.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20320,Zimbabwe,ZWE,2021-03-16,39550,39550,0,1890.0,541,0.27,0.27,0.0,36.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20321,Zimbabwe,ZWE,2021-03-17,39607,39607,0,57.0,529,0.27,0.27,0.0,36.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20322,Zimbabwe,ZWE,2021-03-18,40002,40002,0,395.0,569,0.27,0.27,0.0,38.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20323,Zimbabwe,ZWE,2021-03-19,41687,41687,0,1685.0,772,0.28,0.28,0.0,52.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
20324,Zimbabwe,ZWE,2021-03-20,42210,42210,0,523.0,836,0.28,0.28,0.0,56.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1396903351850315776
