,Unnamed: 0,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
0,16696,Seychelles,SYC,2021-01-09,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.youtube.com/watch?v=J_e--lCHuWM&ab_channel=SBC
1,16697,Seychelles,SYC,2021-01-10,500,500,0,,500,0.5107252298263534,0.5107252298263534,0.0,5084.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.youtube.com/watch?v=J_e--lCHuWM&ab_channel=SBC
2,16698,Seychelles,SYC,2021-01-11,1000,1000,0,,500,1.0214504596527068,1.0214504596527068,0.0,5084.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.youtube.com/watch?v=J_e--lCHuWM&ab_channel=SBC
3,16699,Seychelles,SYC,2021-01-12,1500,1500,0,,500,1.5321756894790604,1.5321756894790604,0.0,5084.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.youtube.com/watch?v=J_e--lCHuWM&ab_channel=SBC
4,16700,Seychelles,SYC,2021-01-13,2000,2000,0,,500,2.03,2.03,0.0,5084.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.youtube.com/watch?v=J_e--lCHuWM&ab_channel=SBC
5,16701,Seychelles,SYC,2021-01-14,3000,3000,0,,600,3.0643513789581207,3.0643513789581207,0.0,6101.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.youtube.com/watch?v=J_e--lCHuWM&ab_channel=SBC
6,16702,Seychelles,SYC,2021-01-15,4000,4000,0,,667,4.07,4.07,0.0,6783.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.youtube.com/watch?v=J_e--lCHuWM&ab_channel=SBC
7,16703,Seychelles,SYC,2021-01-16,7000,7000,0,3000.0,1000,7.12,7.12,0.0,10169.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.youtube.com/watch?v=J_e--lCHuWM&ab_channel=SBC
8,16704,Seychelles,SYC,2021-01-17,8325,8325,0,,1118,8.503575076608785,8.503575076608785,0.0,11369.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.youtube.com/watch?v=J_e--lCHuWM&ab_channel=SBC
9,16705,Seychelles,SYC,2021-01-18,9650,9650,0,,1236,9.85699693564862,9.85699693564862,0.0,12569.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.youtube.com/watch?v=J_e--lCHuWM&ab_channel=SBC
10,16706,Seychelles,SYC,2021-01-19,10976,10976,0,,1354,11.16,11.16,0.0,13769.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.youtube.com/watch?v=J_e--lCHuWM&ab_channel=SBC
11,16707,Seychelles,SYC,2021-01-20,13163,13163,0,2187.0,1595,13.39,13.39,0.0,16219.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.youtube.com/watch?v=J_e--lCHuWM&ab_channel=SBC
12,16708,Seychelles,SYC,2021-01-21,15026,15026,0,,1718,15.348314606741573,15.348314606741573,0.0,17470.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.youtube.com/watch?v=J_e--lCHuWM&ab_channel=SBC
13,16709,Seychelles,SYC,2021-01-22,16890,16890,0,,1841,17.18,17.18,0.0,18721.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.youtube.com/watch?v=J_e--lCHuWM&ab_channel=SBC
14,16710,Seychelles,SYC,2021-01-23,18353,18353,0,1463.0,1622,18.66,18.66,0.0,16494.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.youtube.com/watch?v=J_e--lCHuWM&ab_channel=SBC
15,16711,Seychelles,SYC,2021-01-24,19121,19121,0,,1542,19.531154239019408,19.531154239019408,0.0,15680.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.youtube.com/watch?v=J_e--lCHuWM&ab_channel=SBC
16,16712,Seychelles,SYC,2021-01-25,19889,19889,0,,1463,20.22,20.22,0.0,14877.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.youtube.com/watch?v=J_e--lCHuWM&ab_channel=SBC
17,16713,Seychelles,SYC,2021-01-26,22712,22712,0,2823.0,1677,23.1,23.1,0.0,17053.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.youtube.com/watch?v=J_e--lCHuWM&ab_channel=SBC
18,16714,Seychelles,SYC,2021-01-27,25587,25587,0,2875.0,1775,26.02,26.02,0.0,18050.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.youtube.com/watch?v=J_e--lCHuWM&ab_channel=SBC
19,16715,Seychelles,SYC,2021-01-28,28779,28779,0,3192.0,1965,29.26,29.26,0.0,19982.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.youtube.com/watch?v=J_e--lCHuWM&ab_channel=SBC
20,16716,Seychelles,SYC,2021-01-29,30861,30861,0,2082.0,1996,31.38,31.38,0.0,20297.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.youtube.com/watch?v=J_e--lCHuWM&ab_channel=SBC
21,16717,Seychelles,SYC,2021-01-30,32267,32267,0,,1988,32.9591419816139,32.9591419816139,0.0,20216.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.youtube.com/watch?v=J_e--lCHuWM&ab_channel=SBC
22,16718,Seychelles,SYC,2021-01-31,33673,33673,0,,2079,34.3953013278856,34.3953013278856,0.0,21141.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.youtube.com/watch?v=J_e--lCHuWM&ab_channel=SBC
23,16719,Seychelles,SYC,2021-02-01,35079,35079,0,,2170,35.67,35.67,0.0,22066.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.youtube.com/watch?v=J_e--lCHuWM&ab_channel=SBC
24,16720,Seychelles,SYC,2021-02-02,36284,36284,0,1205.0,1939,36.9,36.9,0.0,19717.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.youtube.com/watch?v=J_e--lCHuWM&ab_channel=SBC
25,16721,Seychelles,SYC,2021-02-03,37092,37087,5,808.0,1644,37.72,37.71,0.01,16718.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.youtube.com/watch?v=J_e--lCHuWM&ab_channel=SBC
