,Unnamed: 0,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
0,16025,San Marino,SMR,2021-02-27,35,0,0,,0,0.1,0.1,0.0,0.0,"Pfizer/BioNTech, Sputnik V",Social Security Institute,https://vaccinocovid.iss.sm/
1,16026,San Marino,SMR,2021-02-28,155,155,0,,120,0.4572271386430678,0.4572271386430678,0.0,3536.0,"Pfizer/BioNTech, Sputnik V",Social Security Institute,https://vaccinocovid.iss.sm/
2,16027,San Marino,SMR,2021-03-01,275,275,0,,120,0.81,0.81,0.0,3536.0,"Pfizer/BioNTech, Sputnik V",Social Security Institute,https://vaccinocovid.iss.sm/
3,16028,San Marino,SMR,2021-03-02,580,580,0,305.0,182,1.71,1.71,0.0,5363.0,"Pfizer/BioNTech, Sputnik V",Social Security Institute,https://vaccinocovid.iss.sm/
4,16029,San Marino,SMR,2021-03-03,883,883,0,303.0,212,2.6,2.6,0.0,6247.0,"Pfizer/BioNTech, Sputnik V",Social Security Institute,https://vaccinocovid.iss.sm/
5,16030,San Marino,SMR,2021-03-04,1383,1383,0,500.0,270,4.08,4.08,0.0,7956.0,"Pfizer/BioNTech, Sputnik V",Social Security Institute,https://vaccinocovid.iss.sm/
6,16031,San Marino,SMR,2021-03-05,1880,1880,0,497.0,308,5.54,5.54,0.0,9075.0,"Pfizer/BioNTech, Sputnik V",Social Security Institute,https://vaccinocovid.iss.sm/
7,16032,San Marino,SMR,2021-03-06,2339,2339,0,459.0,329,6.89,6.89,0.0,9694.0,"Pfizer/BioNTech, Sputnik V",Social Security Institute,https://vaccinocovid.iss.sm/
8,16033,San Marino,SMR,2021-03-07,2519,2519,0,,338,7.430678466076696,7.430678466076696,0.0,9959.0,"Pfizer/BioNTech, Sputnik V",Social Security Institute,https://vaccinocovid.iss.sm/
9,16034,San Marino,SMR,2021-03-08,2700,2700,0,,346,7.96,7.96,0.0,10195.0,"Pfizer/BioNTech, Sputnik V",Social Security Institute,https://vaccinocovid.iss.sm/
