,Unnamed: 0,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
0,1344,Bahrain,BHR,2020-12-23,38965,0,0,,0,2.29,2.29,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://healthalert.gov.bh/en/
1,1345,Bahrain,BHR,2020-12-24,50071,50071,0,11106.0,11106,2.94,2.94,0.0,6527.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://healthalert.gov.bh/en/
2,1346,Bahrain,BHR,2020-12-25,50543,50543,0,472.0,5789,2.97,2.97,0.0,3402.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://healthalert.gov.bh/en/
3,1347,Bahrain,BHR,2020-12-26,51556,51556,0,1013.0,4197,3.03,3.03,0.0,2467.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://healthalert.gov.bh/en/
4,1348,Bahrain,BHR,2020-12-27,53614,53614,0,2058.0,3662,3.15,3.15,0.0,2152.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://healthalert.gov.bh/en/
5,1349,Bahrain,BHR,2020-12-28,55014,55014,0,1400.0,3210,3.23,3.23,0.0,1886.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://healthalert.gov.bh/en/
6,1350,Bahrain,BHR,2020-12-29,56041,56041,0,1027.0,2846,3.29,3.29,0.0,1673.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://healthalert.gov.bh/en/
7,1351,Bahrain,BHR,2020-12-30,57317,57317,0,1276.0,2622,3.37,3.37,0.0,1541.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://healthalert.gov.bh/en/
8,1352,Bahrain,BHR,2020-12-31,58643,58643,0,1326.0,1225,3.45,3.45,0.0,720.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://healthalert.gov.bh/en/
9,1353,Bahrain,BHR,2021-01-01,59351,59351,0,708.0,1258,3.49,3.49,0.0,739.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://healthalert.gov.bh/en/
