,Unnamed: 0,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
0,3433,Chile,CHL,2020-12-24,420,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
1,3434,Chile,CHL,2020-12-25,5198,5198,0,4778.0,4778,0.03,0.03,0.0,250.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
2,3435,Chile,CHL,2020-12-26,8338,8338,0,3140.0,3959,0.04,0.04,0.0,207.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
3,3436,Chile,CHL,2020-12-27,8649,8649,0,311.0,2743,0.05,0.05,0.0,143.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
4,3437,Chile,CHL,2020-12-28,8649,8649,0,0.0,2057,0.05,0.05,0.0,108.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
5,3438,Chile,CHL,2020-12-29,8649,8649,0,0.0,1646,0.05,0.05,0.0,86.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
6,3439,Chile,CHL,2020-12-30,8649,8649,0,0.0,1372,0.05,0.05,0.0,72.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
7,3440,Chile,CHL,2020-12-31,8649,8649,0,0.0,1176,0.05,0.05,0.0,62.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
8,3441,Chile,CHL,2021-01-01,8649,8649,0,0.0,493,0.05,0.05,0.0,26.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
9,3442,Chile,CHL,2021-01-02,8649,8649,0,0.0,44,0.05,0.05,0.0,2.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
10,3443,Chile,CHL,2021-01-03,8649,8649,0,0.0,0,0.05,0.05,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
11,3444,Chile,CHL,2021-01-04,9054,9054,0,405.0,58,0.05,0.05,0.0,3.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
12,3445,Chile,CHL,2021-01-05,10497,10497,0,1443.0,264,0.05,0.05,0.0,14.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
13,3446,Chile,CHL,2021-01-06,10702,10702,0,205.0,293,0.06,0.06,0.0,15.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
14,3447,Chile,CHL,2021-01-07,10702,10702,0,0.0,293,0.06,0.06,0.0,15.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
15,3448,Chile,CHL,2021-01-08,10702,10702,0,0.0,293,0.06,0.06,0.0,15.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
16,3449,Chile,CHL,2021-01-09,10702,10702,0,0.0,293,0.06,0.06,0.0,15.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
17,3450,Chile,CHL,2021-01-10,10702,10702,0,0.0,293,0.06,0.06,0.0,15.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
18,3451,Chile,CHL,2021-01-11,10702,10702,0,0.0,235,0.06,0.06,0.0,12.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
19,3452,Chile,CHL,2021-01-12,10702,10702,0,0.0,29,0.06,0.06,0.0,2.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
20,3453,Chile,CHL,2021-01-13,11732,10703,1029,1030.0,147,0.06,0.06,0.01,8.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
21,3454,Chile,CHL,2021-01-14,18646,12821,5825,6914.0,1135,0.1,0.07,0.03,59.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
22,3455,Chile,CHL,2021-01-15,22077,13778,8299,3431.0,1625,0.12,0.07,0.04,85.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
23,3456,Chile,CHL,2021-01-16,22167,13801,8366,90.0,1638,0.12,0.07,0.04,86.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
24,3457,Chile,CHL,2021-01-17,22167,13801,8366,0.0,1638,0.12,0.07,0.04,86.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
25,3458,Chile,CHL,2021-01-18,33202,24836,8366,11035.0,3214,0.17,0.13,0.04,168.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
26,3459,Chile,CHL,2021-01-19,52556,44188,8368,19354.0,5979,0.27,0.23,0.04,313.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
27,3460,Chile,CHL,2021-01-20,61859,53491,8368,9303.0,7161,0.32,0.28,0.04,375.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
28,3461,Chile,CHL,2021-01-21,64920,56552,8368,3061.0,6611,0.34,0.3,0.04,346.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
29,3462,Chile,CHL,2021-01-22,65332,56964,8368,412.0,6179,0.34,0.3,0.04,323.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
30,3463,Chile,CHL,2021-01-23,65332,56964,8368,0.0,6166,0.34,0.3,0.04,323.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
31,3464,Chile,CHL,2021-01-24,65332,56964,8368,0.0,6166,0.34,0.3,0.04,323.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
32,3465,Chile,CHL,2021-01-25,66752,56981,9771,1420.0,4793,0.35,0.3,0.05,251.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
33,3466,Chile,CHL,2021-01-26,67368,57002,10366,616.0,2116,0.35,0.3,0.05,111.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
34,3467,Chile,CHL,2021-01-27,67403,57003,10400,35.0,792,0.35,0.3,0.05,41.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
35,3468,Chile,CHL,2021-01-28,67403,57003,10400,0.0,355,0.35,0.3,0.05,19.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
36,3469,Chile,CHL,2021-01-29,67408,57003,10405,5.0,297,0.35,0.3,0.05,16.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
37,3470,Chile,CHL,2021-01-30,67409,57004,10405,1.0,297,0.35,0.3,0.05,16.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
38,3471,Chile,CHL,2021-01-31,67409,57004,10405,0.0,297,0.35,0.3,0.05,16.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
39,3472,Chile,CHL,2021-02-01,67409,57004,10405,0.0,94,0.35,0.3,0.05,5.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
40,3473,Chile,CHL,2021-02-02,80596,70185,10411,13187.0,1890,0.42,0.37,0.05,99.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
41,3474,Chile,CHL,2021-02-03,251007,240596,10411,170411.0,26229,1.31,1.26,0.05,1372.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
42,3475,Chile,CHL,2021-02-04,427193,414674,12519,176186.0,51399,2.23,2.17,0.07,2689.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
43,3476,Chile,CHL,2021-02-05,596553,583364,13189,169360.0,75592,3.12,3.05,0.07,3954.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
44,3477,Chile,CHL,2021-02-06,624406,611212,13194,27853.0,79571,3.27,3.2,0.07,4162.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
45,3478,Chile,CHL,2021-02-07,633043,619848,13195,8637.0,80805,3.31,3.24,0.07,4227.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
46,3479,Chile,CHL,2021-02-08,866338,841380,24958,233295.0,114133,4.53,4.4,0.13,5970.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
47,3480,Chile,CHL,2021-02-09,1128237,1083906,44331,261899.0,149663,5.9,5.67,0.23,7829.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
48,3481,Chile,CHL,2021-02-10,1409163,1356497,52666,280926.0,165451,7.37,7.1,0.28,8655.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
49,3482,Chile,CHL,2021-02-11,1663350,1607802,55548,254187.0,176594,8.7,8.41,0.29,9238.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
50,3483,Chile,CHL,2021-02-12,1892854,1837096,55758,229504.0,185186,9.9,9.61,0.29,9687.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
51,3484,Chile,CHL,2021-02-13,1922397,1866605,55792,29543.0,185427,10.06,9.76,0.29,9700.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
52,3485,Chile,CHL,2021-02-14,1926863,1871071,55792,4466.0,184831,10.08,9.79,0.29,9669.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
53,3486,Chile,CHL,2021-02-15,2192804,2137012,55792,265941.0,189495,11.47,11.18,0.29,9913.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
54,3487,Chile,CHL,2021-02-16,2412882,2357079,55803,220078.0,183521,12.62,12.33,0.29,9600.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
55,3488,Chile,CHL,2021-02-17,2600990,2545187,55803,188108.0,170261,13.61,13.31,0.29,8907.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
56,3489,Chile,CHL,2021-02-18,2756284,2700481,55803,155294.0,156133,14.42,14.13,0.29,8168.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
57,3490,Chile,CHL,2021-02-19,2898463,2842660,55803,142179.0,143658,15.16,14.87,0.29,7515.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
58,3491,Chile,CHL,2021-02-20,2908102,2852299,55803,9639.0,140815,15.21,14.92,0.29,7366.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
59,3492,Chile,CHL,2021-02-21,2909266,2853463,55803,1164.0,140343,15.22,14.93,0.29,7342.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
60,3493,Chile,CHL,2021-02-22,3017417,2961593,55824,108151.0,117802,15.78,15.49,0.29,6162.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
61,3494,Chile,CHL,2021-02-23,3111694,3055830,55864,94277.0,99830,16.28,15.99,0.29,5222.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
62,3495,Chile,CHL,2021-02-24,3197987,3141950,56037,86293.0,85285,16.73,16.44,0.29,4461.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
63,3496,Chile,CHL,2021-02-25,3284073,3227892,56181,86086.0,75398,17.18,16.89,0.29,3944.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
64,3497,Chile,CHL,2021-02-26,3362380,3306081,56299,78307.0,66274,17.59,17.29,0.29,3467.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
65,3498,Chile,CHL,2021-02-27,3372360,3316057,56303,9980.0,66323,17.64,17.35,0.29,3469.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
66,3499,Chile,CHL,2021-02-28,3372715,3316412,56303,355.0,66207,17.64,17.35,0.29,3463.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
67,3500,Chile,CHL,2021-03-01,3510248,3453538,56710,137533.0,70404,18.36,18.07,0.3,3683.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
68,3501,Chile,CHL,2021-03-02,3681580,3612458,69122,171332.0,81412,19.26,18.9,0.36,4259.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
69,3502,Chile,CHL,2021-03-03,3993472,3770294,223178,311892.0,113641,20.89,19.72,1.17,5945.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
