,Unnamed: 0,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
0,9485,Jersey,JEY,2021-03-14,40137,0,5621,,0,45.27,39.71,5.56,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
1,9486,Jersey,JEY,2021-03-15,46687,40565,6121,,930,46.22475247524753,40.16336633663367,6.06039603960396,9201.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
2,9487,Jersey,JEY,2021-03-16,47617,40993,6623,,930,47.14554455445544,40.58712871287129,6.5574257425742575,9201.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
3,9488,Jersey,JEY,2021-03-17,48546,41422,7123,,930,48.065346534653465,41.01188118811881,7.052475247524752,9201.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
4,9489,Jersey,JEY,2021-03-18,49476,41850,7625,,930,48.986138613861385,41.43564356435643,7.5495049504950495,9201.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
5,9490,Jersey,JEY,2021-03-19,50405,42279,8125,,930,49.90594059405941,41.86039603960396,8.044554455445544,9201.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
6,9491,Jersey,JEY,2021-03-20,51335,42707,8627,,930,50.82673267326733,42.28415841584158,8.541584158415843,9201.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
7,9492,Jersey,JEY,2021-03-21,52265,43136,9129,,930,51.71,42.68,9.03,9201.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
8,9493,Jersey,JEY,2021-03-22,53246,43304,9941,,937,52.71881188118813,42.87524752475248,9.842574257425744,9271.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
9,9494,Jersey,JEY,2021-03-23,54227,43473,10753,,944,53.69009900990099,43.04257425742574,10.646534653465348,9340.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
10,9495,Jersey,JEY,2021-03-24,55208,43642,11565,,952,54.66138613861386,43.20990099009901,11.450495049504951,9419.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
11,9496,Jersey,JEY,2021-03-25,56189,43811,12377,,959,55.63267326732674,43.37722772277228,12.254455445544554,9488.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
12,9497,Jersey,JEY,2021-03-26,57170,43980,13189,,966,56.6039603960396,43.54455445544554,13.05841584158416,9557.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
13,9498,Jersey,JEY,2021-03-27,58151,44149,14001,,974,57.57524752475247,43.71188118811881,13.862376237623764,9637.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
14,9499,Jersey,JEY,2021-03-28,59132,44318,14814,,981,58.5,43.85,14.66,9706.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
15,9500,Jersey,JEY,2021-03-29,60364,44412,15951,,1017,59.76633663366336,43.97227722772277,15.793069306930692,10062.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
16,9501,Jersey,JEY,2021-03-30,61597,44507,17089,,1053,60.98712871287128,44.06633663366337,16.91980198019802,10418.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
17,9502,Jersey,JEY,2021-03-31,62829,44602,18226,,1089,62.20693069306931,44.16039603960396,18.045544554455446,10774.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
18,9503,Jersey,JEY,2021-04-01,64062,44696,19365,,1125,63.42772277227723,44.253465346534654,19.173267326732677,11131.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
19,9504,Jersey,JEY,2021-04-02,65294,44791,20502,,1161,64.64752475247525,44.347524752475245,20.2990099009901,11487.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
20,9505,Jersey,JEY,2021-04-03,66527,44886,21640,,1197,65.86831683168317,44.44158415841584,21.425742574257427,11843.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
21,9506,Jersey,JEY,2021-04-04,67760,44981,22779,,1233,67.04,44.5,22.54,12199.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
22,9507,Jersey,JEY,2021-04-05,68202,45067,23134,,1120,67.52673267326733,44.62079207920792,22.904950495049505,11081.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
23,9508,Jersey,JEY,2021-04-06,68645,45153,23491,,1007,67.96534653465346,44.705940594059406,23.25841584158416,9963.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
24,9509,Jersey,JEY,2021-04-07,69088,45239,23848,,894,68.40396039603961,44.79108910891089,23.61188118811881,8845.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
25,9510,Jersey,JEY,2021-04-08,69530,45326,24203,,781,68.84158415841584,44.87722772277228,23.963366336633666,7727.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
26,9511,Jersey,JEY,2021-04-09,69973,45412,24560,,668,69.28019801980197,44.962376237623765,24.31683168316832,6609.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
