,Unnamed: 0,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
0,3586,China,CHN,2020-12-15,0,0,0,,0,0.1,0.0,0.0,0.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/993e4d140563489581ae4c6f46589cd3.shtml
1,3587,China,CHN,2020-12-16,1687500,0,1687500,,187500,0.1171734880037262,0.0,0.1171734880037262,130.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/993e4d140563489581ae4c6f46589cd3.shtml
2,3588,China,CHN,2020-12-17,1875000,0,1875000,,187500,0.1301927644485846,0.0,0.1301927644485846,130.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/993e4d140563489581ae4c6f46589cd3.shtml
3,3589,China,CHN,2020-12-18,2062500,0,2062500,,187500,0.1432120408934431,0.0,0.1432120408934431,130.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/993e4d140563489581ae4c6f46589cd3.shtml
4,3590,China,CHN,2020-12-19,2250000,0,2250000,,187500,0.1562313173383016,0.0,0.1562313173383016,130.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/993e4d140563489581ae4c6f46589cd3.shtml
5,3591,China,CHN,2020-12-20,2437500,0,2437500,,187500,0.1692505937831601,0.0,0.1692505937831601,130.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/993e4d140563489581ae4c6f46589cd3.shtml
6,3592,China,CHN,2020-12-21,2625000,0,2625000,,187500,0.1822698702280185,0.0,0.1822698702280185,130.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/993e4d140563489581ae4c6f46589cd3.shtml
7,3593,China,CHN,2020-12-22,2812500,0,2812500,,187500,0.195289146672877,0.0,0.195289146672877,130.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/993e4d140563489581ae4c6f46589cd3.shtml
8,3594,China,CHN,2020-12-23,3000000,0,3000000,,187500,0.2083084231177354,0.0,0.2083084231177354,130.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/993e4d140563489581ae4c6f46589cd3.shtml
9,3595,China,CHN,2020-12-24,3187500,0,3187500,,187500,0.221327699562594,0.0,0.221327699562594,130.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/993e4d140563489581ae4c6f46589cd3.shtml
10,3596,China,CHN,2020-12-25,3375000,0,3375000,,187500,0.2343469760074524,0.0,0.2343469760074524,130.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/993e4d140563489581ae4c6f46589cd3.shtml
11,3597,China,CHN,2020-12-26,3562500,0,3562500,,187500,0.2473662524523109,0.0,0.2473662524523109,130.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/993e4d140563489581ae4c6f46589cd3.shtml
12,3598,China,CHN,2020-12-27,3750000,0,3750000,,187500,0.2603855288971693,0.0,0.2603855288971693,130.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/993e4d140563489581ae4c6f46589cd3.shtml
13,3599,China,CHN,2020-12-28,3937500,0,3937500,,187500,0.2734048053420278,0.0,0.2734048053420278,130.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/993e4d140563489581ae4c6f46589cd3.shtml
14,3600,China,CHN,2020-12-29,4125000,0,4125000,,187500,0.2864240817868863,0.0,0.2864240817868863,130.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/993e4d140563489581ae4c6f46589cd3.shtml
15,3601,China,CHN,2020-12-30,4312500,0,4312500,,187500,0.2994433582317448,0.0,0.2994433582317448,130.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/993e4d140563489581ae4c6f46589cd3.shtml
16,3602,China,CHN,2020-12-31,4500000,0,4500000,,187500,0.31,0.0,0.3124626346766033,130.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/993e4d140563489581ae4c6f46589cd3.shtml
17,3603,China,CHN,2021-01-01,5000000,0,5000000,,232143,0.3471807051962258,0.0,0.3471807051962258,161.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/993e4d140563489581ae4c6f46589cd3.shtml
18,3604,China,CHN,2021-01-02,5500000,0,5500000,,276786,0.3818987757158484,0.0,0.3818987757158484,192.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/993e4d140563489581ae4c6f46589cd3.shtml
19,3605,China,CHN,2021-01-03,6000000,0,6000000,,321429,0.4166168462354709,0.0,0.4166168462354709,223.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/993e4d140563489581ae4c6f46589cd3.shtml
20,3606,China,CHN,2021-01-04,6500000,0,6500000,,366071,0.4513349167550936,0.0,0.4513349167550936,254.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/993e4d140563489581ae4c6f46589cd3.shtml
21,3607,China,CHN,2021-01-05,7000000,0,7000000,,410714,0.4860529872747161,0.0,0.4860529872747161,285.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/993e4d140563489581ae4c6f46589cd3.shtml
22,3608,China,CHN,2021-01-06,7500000,0,7500000,,455357,0.5207710577943387,0.0,0.5207710577943387,316.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/993e4d140563489581ae4c6f46589cd3.shtml
23,3609,China,CHN,2021-01-07,8000000,0,8000000,,500000,0.5554891283139614,0.0,0.5554891283139614,347.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/993e4d140563489581ae4c6f46589cd3.shtml
24,3610,China,CHN,2021-01-08,8500000,0,8500000,,500000,0.590207198833584,0.0,0.590207198833584,347.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/993e4d140563489581ae4c6f46589cd3.shtml
25,3611,China,CHN,2021-01-09,9000000,0,9000000,,500000,0.63,0.0,0.6249252693532066,347.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/993e4d140563489581ae4c6f46589cd3.shtml
