,Unnamed: 0,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
0,19435,United Kingdom,GBR,2021-01-03,1380430,0,22002,,0,2.07,2.03,0.03,0.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
1,19436,United Kingdom,GBR,2021-01-04,1584651,1509878,74772,,182220,2.333730169565091,2.2236112815772056,0.1101174152786455,2684.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
2,19437,United Kingdom,GBR,2021-01-05,1766871,1639327,127543,,182220,2.6020872472422267,2.41425201996063,0.1878337545723571,2684.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
3,19438,United Kingdom,GBR,2021-01-06,1949091,1768776,180314,,182220,2.8704443249193625,2.6048927583440538,0.2655500938660688,2684.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
4,19439,United Kingdom,GBR,2021-01-07,2131311,1898225,233085,,182220,3.1388014025964988,2.795533496727478,0.3432664331597804,2684.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
5,19440,United Kingdom,GBR,2021-01-08,2313531,2027674,285856,,182220,3.4071584802736337,2.9861742351109024,0.4209827724534921,2684.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
6,19441,United Kingdom,GBR,2021-01-09,2495751,2157123,338627,,182220,3.6755155579507695,3.1768149734943263,0.4986991117472037,2684.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
7,19442,United Kingdom,GBR,2021-01-10,2677971,2286572,391399,,182220,3.94,3.37,0.58,2684.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
8,19443,United Kingdom,GBR,2021-01-11,2843815,2431648,412167,165844.0,179880,4.19,3.58,0.61,2650.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
9,19444,United Kingdom,GBR,2021-01-12,3067541,2639309,428232,223726.0,185810,4.52,3.89,0.63,2737.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
10,19445,United Kingdom,GBR,2021-01-13,3356229,2918252,437977,288688.0,201020,4.94,4.3,0.65,2961.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
11,19446,United Kingdom,GBR,2021-01-14,3678180,3234946,443234,321951.0,220981,5.42,4.77,0.65,3255.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
12,19447,United Kingdom,GBR,2021-01-15,4023705,3576263,447442,345525.0,244311,5.93,5.27,0.66,3599.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
13,19448,United Kingdom,GBR,2021-01-16,4322456,3872394,450062,298751.0,260958,6.37,5.7,0.66,3844.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
14,19449,United Kingdom,GBR,2021-01-17,4514802,4062501,452301,192346.0,262404,6.65,5.98,0.67,3865.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
15,19450,United Kingdom,GBR,2021-01-18,4723443,4266577,456866,208641.0,268518,6.96,6.28,0.67,3955.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
16,19451,United Kingdom,GBR,2021-01-19,5070365,4609740,460625,346922.0,286118,7.47,6.79,0.68,4215.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
17,19452,United Kingdom,GBR,2021-01-20,5437284,4973248,464036,366919.0,297294,8.01,7.33,0.68,4379.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
18,19453,United Kingdom,GBR,2021-01-21,5849899,5383103,466796,412615.0,310246,8.62,7.93,0.69,4570.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
19,19454,United Kingdom,GBR,2021-01-22,6329968,5861351,468617,480069.0,329466,9.32,8.63,0.69,4853.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
20,19455,United Kingdom,GBR,2021-01-23,6822981,6353321,469660,493013.0,357218,10.05,9.36,0.69,5262.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
21,19456,United Kingdom,GBR,2021-01-24,7044048,6573570,470478,221067.0,361321,10.38,9.68,0.69,5322.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
