,Unnamed: 0,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
0,7995,Hungary,HUN,2020-12-28,0,0,0,,0,0.01,0.0,0.0,0.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/5-millio-40-ezer-beoltott-213-az-uj-fertozott-elhunyt-41-beteg
1,7996,Hungary,HUN,2020-12-29,6175,6175,0,1367.0,1367,0.03,0.0639154556369809,0.0,142.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/5-millio-40-ezer-beoltott-213-az-uj-fertozott-elhunyt-41-beteg
2,7997,Hungary,HUN,2020-12-30,12351,12351,0,1328.0,1348,0.04,0.1278412619550366,0.0,140.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/5-millio-40-ezer-beoltott-213-az-uj-fertozott-elhunyt-41-beteg
3,7998,Hungary,HUN,2020-12-31,18527,18527,0,1321.0,1339,0.05,0.1917670682730923,0.0,139.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/5-millio-40-ezer-beoltott-213-az-uj-fertozott-elhunyt-41-beteg
4,7999,Hungary,HUN,2021-01-01,24702,24702,0,,1578,0.0766571440400778,0.2556825239100733,0.0,163.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/5-millio-40-ezer-beoltott-213-az-uj-fertozott-elhunyt-41-beteg
5,8000,Hungary,HUN,2021-01-02,30878,30878,0,,1722,0.1004326584689272,0.319608330228129,0.0,178.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/5-millio-40-ezer-beoltott-213-az-uj-fertozott-elhunyt-41-beteg
6,8001,Hungary,HUN,2021-01-03,37054,37054,0,,1818,0.12,0.3835341365461847,0.0,188.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/5-millio-40-ezer-beoltott-213-az-uj-fertozott-elhunyt-41-beteg
7,8002,Hungary,HUN,2021-01-04,43229,43229,0,3000.0,1987,0.16,0.4474495921831656,0.0,206.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/5-millio-40-ezer-beoltott-213-az-uj-fertozott-elhunyt-41-beteg
8,8003,Hungary,HUN,2021-01-05,49405,49405,0,6000.0,2648,0.22,0.5113753985012214,0.0,274.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/5-millio-40-ezer-beoltott-213-az-uj-fertozott-elhunyt-41-beteg
9,8004,Hungary,HUN,2021-01-06,55581,55581,0,10500.0,3959,0.33,0.5753012048192772,0.0,410.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/5-millio-40-ezer-beoltott-213-az-uj-fertozott-elhunyt-41-beteg
10,8005,Hungary,HUN,2021-01-07,61756,61756,0,11049.0,5348,0.44,0.639216660456258,0.0,554.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/5-millio-40-ezer-beoltott-213-az-uj-fertozott-elhunyt-41-beteg
11,8006,Hungary,HUN,2021-01-08,67932,67932,0,,6375,0.5385666376847597,0.7031424667743137,0.0,660.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/5-millio-40-ezer-beoltott-213-az-uj-fertozott-elhunyt-41-beteg
12,8007,Hungary,HUN,2021-01-09,74108,74108,0,,7402,0.6367324969983025,0.7670682730923695,0.0,766.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/5-millio-40-ezer-beoltott-213-az-uj-fertozott-elhunyt-41-beteg
13,8008,Hungary,HUN,2021-01-10,80283,80283,0,,8429,0.73,0.8309837287293503,0.0,873.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/5-millio-40-ezer-beoltott-213-az-uj-fertozott-elhunyt-41-beteg
14,8009,Hungary,HUN,2021-01-11,86459,86459,0,7579.0,9083,0.81,0.8949095350474062,0.0,940.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/5-millio-40-ezer-beoltott-213-az-uj-fertozott-elhunyt-41-beteg
15,8010,Hungary,HUN,2021-01-12,92635,92635,0,8350.0,9418,0.9,0.9588353413654618,0.0,975.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/5-millio-40-ezer-beoltott-213-az-uj-fertozott-elhunyt-41-beteg
16,8011,Hungary,HUN,2021-01-13,98810,98810,0,9172.0,9229,0.99,1.0227507970024428,0.0,955.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/5-millio-40-ezer-beoltott-213-az-uj-fertozott-elhunyt-41-beteg
17,8012,Hungary,HUN,2021-01-14,105728,104986,741,9627.0,9026,1.09,1.0866766033204986,0.0076698546764377,934.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/5-millio-40-ezer-beoltott-213-az-uj-fertozott-elhunyt-41-beteg
18,8013,Hungary,HUN,2021-01-15,112847,111162,1685,7119.0,8688,1.17,1.1506024096385543,0.0174408976110628,899.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/5-millio-40-ezer-beoltott-213-az-uj-fertozott-elhunyt-41-beteg
19,8014,Hungary,HUN,2021-01-16,119944,117337,2606,7097.0,8347,1.24,1.214517865275535,0.0269738748809671,864.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/5-millio-40-ezer-beoltott-213-az-uj-fertozott-elhunyt-41-beteg
20,8015,Hungary,HUN,2021-01-17,123513,123513,0,3244.0,7455,1.28,1.278443671593591,0.0,772.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/5-millio-40-ezer-beoltott-213-az-uj-fertozott-elhunyt-41-beteg
21,8016,Hungary,HUN,2021-01-18,131332,129689,1643,8144.0,7536,1.36,1.34,0.02,780.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/5-millio-40-ezer-beoltott-213-az-uj-fertozott-elhunyt-41-beteg
22,8017,Hungary,HUN,2021-01-19,133257,130318,2939,1925.0,6618,1.38,1.35,0.03,685.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/5-millio-40-ezer-beoltott-213-az-uj-fertozott-elhunyt-41-beteg
