,Unnamed: 0,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
0,14809,Poland,POL,2020-12-28,2000,0,0,,0,0.01,0.01,0.0,0.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
1,14810,Poland,POL,2020-12-29,6300,6300,0,4300.0,4300,0.02,0.02,0.0,114.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
2,14811,Poland,POL,2020-12-30,36300,36300,0,30000.0,17150,0.1,0.1,0.0,453.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
3,14812,Poland,POL,2020-12-31,47600,47600,0,11300.0,15200,0.13,0.13,0.0,402.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
4,14813,Poland,POL,2021-01-01,48995,48995,0,,11749,0.1299634319852911,0.1299634319852911,0.0,310.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
5,14814,Poland,POL,2021-01-02,50391,50391,0,,9678,0.13,0.13,0.0,256.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
6,14815,Poland,POL,2021-01-03,50833,50833,0,442.0,8139,0.13,0.13,0.0,215.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
7,14816,Poland,POL,2021-01-04,92220,92220,0,41387.0,12889,0.24,0.24,0.0,341.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
8,14817,Poland,POL,2021-01-05,140226,140226,0,48006.0,19132,0.37,0.37,0.0,506.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
9,14818,Poland,POL,2021-01-06,160359,160359,0,20133.0,17723,0.42,0.42,0.0,468.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
10,14819,Poland,POL,2021-01-07,188956,188956,0,28597.0,20194,0.5,0.5,0.0,534.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11,14820,Poland,POL,2021-01-08,198787,198787,0,9831.0,21399,0.53,0.53,0.0,565.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
12,14821,Poland,POL,2021-01-09,200022,200022,0,1235.0,21376,0.53,0.53,0.0,565.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
13,14822,Poland,POL,2021-01-10,203053,203053,0,3031.0,21746,0.54,0.54,0.0,575.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
14,14823,Poland,POL,2021-01-11,257834,257834,0,54781.0,23659,0.68,0.68,0.0,625.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
15,14824,Poland,POL,2021-01-12,309620,309620,0,51786.0,24199,0.82,0.82,0.0,639.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
16,14825,Poland,POL,2021-01-13,369212,369212,0,59592.0,29836,0.98,0.98,0.0,788.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
17,14826,Poland,POL,2021-01-14,410480,410480,0,41268.0,31646,1.08,1.08,0.0,836.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
18,14827,Poland,POL,2021-01-15,436963,436963,0,26483.0,34025,1.15,1.15,0.0,899.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
19,14828,Poland,POL,2021-01-16,457303,457303,0,20340.0,36754,1.21,1.21,0.0,971.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
20,14829,Poland,POL,2021-01-17,469466,468795,671,12163.0,38059,1.24,1.24,0.0,1006.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
21,14830,Poland,POL,2021-01-18,495164,491696,3468,25698.0,33904,1.31,1.3,0.01,896.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
22,14831,Poland,POL,2021-01-19,541229,530055,11174,46065.0,33087,1.43,1.4,0.03,874.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
23,14832,Poland,POL,2021-01-20,591785,566793,24992,50556.0,31796,1.56,1.5,0.07,840.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
24,14833,Poland,POL,2021-01-21,644999,605313,39686,53214.0,33503,1.7,1.6,0.1,885.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
25,14834,Poland,POL,2021-01-22,684277,638798,45479,39278.0,35331,1.81,1.69,0.12,934.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
26,14835,Poland,POL,2021-01-23,701164,654184,46980,16887.0,34837,1.85,1.73,0.12,920.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
27,14836,Poland,POL,2021-01-24,707474,659753,47721,6310.0,34001,1.87,1.74,0.13,898.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
28,14837,Poland,POL,2021-01-25,776987,701222,75765,69513.0,40260,2.05,1.85,0.2,1064.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
29,14838,Poland,POL,2021-01-26,905457,782413,123044,128470.0,52033,2.39,2.07,0.33,1375.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
30,14839,Poland,POL,2021-01-27,1008253,858474,149779,102796.0,59495,2.66,2.27,0.4,1572.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
31,14840,Poland,POL,2021-01-28,1097036,917908,179128,88783.0,64577,2.9,2.43,0.47,1706.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
32,14841,Poland,POL,2021-01-29,1141081,945600,195481,44045.0,65258,3.02,2.5,0.52,1724.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
33,14842,Poland,POL,2021-01-30,1156931,958453,198478,15850.0,65110,3.06,2.53,0.52,1720.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
34,14843,Poland,POL,2021-01-31,1176904,976367,200537,19973.0,67061,3.11,2.58,0.53,1772.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
35,14844,Poland,POL,2021-02-01,1231716,998587,233129,54812.0,64961,3.25,2.64,0.62,1716.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
36,14845,Poland,POL,2021-02-02,1342435,1053245,289190,110719.0,62425,3.55,2.78,0.76,1649.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
37,14846,Poland,POL,2021-02-03,1461578,1117146,344432,119143.0,64761,3.86,2.95,0.91,1711.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
38,14847,Poland,POL,2021-02-04,1566604,1171229,395375,105026.0,67081,4.14,3.09,1.04,1772.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
39,14848,Poland,POL,2021-02-05,1617764,1193034,424730,51160.0,68098,4.27,3.15,1.12,1799.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
40,14849,Poland,POL,2021-02-06,1641158,1200793,440365,23394.0,69175,4.34,3.17,1.16,1828.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
41,14850,Poland,POL,2021-02-07,1656708,1206212,450496,15550.0,68543,4.38,3.19,1.19,1811.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
