,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
11345,Poland,POL,2020-12-28,2000.0,0.0,0.0,,0.0,0.01,0.01,0.0,0.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11346,Poland,POL,2020-12-29,6300.0,6300.0,0.0,4300.0,4300.0,0.02,0.02,0.0,114.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11347,Poland,POL,2020-12-30,36300.0,36300.0,0.0,30000.0,17150.0,0.1,0.1,0.0,453.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11348,Poland,POL,2020-12-31,47600.0,47600.0,0.0,11300.0,15200.0,0.13,0.13,0.0,402.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11349,Poland,POL,2021-01-01,48995.0,48995.0,0.0,,11749.0,0.13004794799759606,0.13004794799759606,0.0,310.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11350,Poland,POL,2021-01-02,50391.0,50391.0,0.0,,9678.0,0.13,0.13,0.0,256.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11351,Poland,POL,2021-01-03,50833.0,50833.0,0.0,442.0,8139.0,0.13,0.13,0.0,215.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11352,Poland,POL,2021-01-04,92220.0,92220.0,0.0,41387.0,12889.0,0.24,0.24,0.0,341.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11353,Poland,POL,2021-01-05,140226.0,140226.0,0.0,48006.0,19132.0,0.37,0.37,0.0,506.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11354,Poland,POL,2021-01-06,160359.0,160359.0,0.0,20133.0,17723.0,0.42,0.42,0.0,468.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11355,Poland,POL,2021-01-07,188956.0,188956.0,0.0,28597.0,20194.0,0.5,0.5,0.0,534.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11356,Poland,POL,2021-01-08,198787.0,198787.0,0.0,9831.0,21399.0,0.53,0.53,0.0,565.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11357,Poland,POL,2021-01-09,200022.0,200022.0,0.0,1235.0,21376.0,0.53,0.53,0.0,565.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11358,Poland,POL,2021-01-10,203053.0,203053.0,0.0,3031.0,21746.0,0.54,0.54,0.0,575.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11359,Poland,POL,2021-01-11,257834.0,257834.0,0.0,54781.0,23659.0,0.68,0.68,0.0,625.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11360,Poland,POL,2021-01-12,309620.0,309620.0,0.0,51786.0,24199.0,0.82,0.82,0.0,639.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11361,Poland,POL,2021-01-13,369212.0,369212.0,0.0,59592.0,29836.0,0.98,0.98,0.0,788.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11362,Poland,POL,2021-01-14,410480.0,410480.0,0.0,41268.0,31646.0,1.08,1.08,0.0,836.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11363,Poland,POL,2021-01-15,436963.0,436963.0,0.0,26483.0,34025.0,1.15,1.15,0.0,899.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11364,Poland,POL,2021-01-16,457303.0,457303.0,0.0,20340.0,36754.0,1.21,1.21,0.0,971.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11365,Poland,POL,2021-01-17,469466.0,468795.0,671.0,12163.0,38059.0,1.24,1.24,0.0,1006.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11366,Poland,POL,2021-01-18,495164.0,491696.0,3468.0,25698.0,33904.0,1.31,1.3,0.01,896.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11367,Poland,POL,2021-01-19,541229.0,530055.0,11174.0,46065.0,33087.0,1.43,1.4,0.03,874.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11368,Poland,POL,2021-01-20,591785.0,566793.0,24992.0,50556.0,31796.0,1.56,1.5,0.07,840.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11369,Poland,POL,2021-01-21,644999.0,605313.0,39686.0,53214.0,33503.0,1.7,1.6,0.1,885.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11370,Poland,POL,2021-01-22,684277.0,638798.0,45479.0,39278.0,35331.0,1.81,1.69,0.12,934.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11371,Poland,POL,2021-01-23,701164.0,654184.0,46980.0,16887.0,34837.0,1.85,1.73,0.12,920.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11372,Poland,POL,2021-01-24,707474.0,659753.0,47721.0,6310.0,34001.0,1.87,1.74,0.13,898.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11373,Poland,POL,2021-01-25,776987.0,701222.0,75765.0,69513.0,40260.0,2.05,1.85,0.2,1064.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11374,Poland,POL,2021-01-26,905457.0,782413.0,123044.0,128470.0,52033.0,2.39,2.07,0.33,1375.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11375,Poland,POL,2021-01-27,1008253.0,858474.0,149779.0,102796.0,59495.0,2.66,2.27,0.4,1572.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11376,Poland,POL,2021-01-28,1097036.0,917908.0,179128.0,88783.0,64577.0,2.9,2.43,0.47,1706.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11377,Poland,POL,2021-01-29,1141081.0,945600.0,195481.0,44045.0,65258.0,3.02,2.5,0.52,1724.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11378,Poland,POL,2021-01-30,1156931.0,958453.0,198478.0,15850.0,65110.0,3.06,2.53,0.52,1720.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11379,Poland,POL,2021-01-31,1176904.0,976367.0,200537.0,19973.0,67061.0,3.11,2.58,0.53,1772.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11380,Poland,POL,2021-02-01,1231716.0,998587.0,233129.0,54812.0,64961.0,3.25,2.64,0.62,1716.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11381,Poland,POL,2021-02-02,1342435.0,1053245.0,289190.0,110719.0,62425.0,3.55,2.78,0.76,1649.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11382,Poland,POL,2021-02-03,1461578.0,1117146.0,344432.0,119143.0,64761.0,3.86,2.95,0.91,1711.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11383,Poland,POL,2021-02-04,1566604.0,1171229.0,395375.0,105026.0,67081.0,4.14,3.09,1.04,1772.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11384,Poland,POL,2021-02-05,1617764.0,1193034.0,424730.0,51160.0,68098.0,4.27,3.15,1.12,1799.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11385,Poland,POL,2021-02-06,1641158.0,1200793.0,440365.0,23394.0,69175.0,4.34,3.17,1.16,1828.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11386,Poland,POL,2021-02-07,1656708.0,1206212.0,450496.0,15550.0,68543.0,4.38,3.19,1.19,1811.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11387,Poland,POL,2021-02-08,1715211.0,1248890.0,466320.0,,69071.0,4.5527027438086485,3.3149419690727164,1.2377581204253287,1825.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11388,Poland,POL,2021-02-09,1773715.0,1291569.0,482146.0,,61611.0,4.69,3.41,1.27,1628.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
11389,Poland,POL,2021-02-10,1883727.0,1352350.0,531376.0,,60307.0,4.999996549396216,3.589556944066721,1.4104369510188917,1593.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
